cell_type,rank,gene_symbol,log2FC,p_val_adj
Bergmann Glia,1,SLC1A3,2.2690811157226562,0.0
Bergmann Glia,2,PCP4,2.3325979709625244,0.0
Bergmann Glia,3,APOE,1.8097134828567505,0.0
Bergmann Glia,4,MT3,1.3908199071884155,6.676713548921163e-280
Bergmann Glia,5,ALDOC,1.6865395307540894,4.537152118018761e-274
Bergmann Glia,6,CALB1,2.220569610595703,2.4354152552447393e-270
Bergmann Glia,7,TUBB2B,1.9990508556365967,7.90915093204662e-228
Bergmann Glia,8,C1orf61,1.5898470878601074,4.262536572321562e-223
Bergmann Glia,9,SNCG,1.8746258020401,5.611139449184936e-215
Bergmann Glia,10,PCP2,2.030305862426758,4.6655477458240096e-212
Bergmann Glia,11,SLC1A6,1.8561245203018188,7.886171641217156e-204
Bergmann Glia,12,CLU,0.9396771192550659,4.386230182578119e-200
Bergmann Glia,13,ITPR1,1.8340647220611572,5.532237966555424e-190
Bergmann Glia,14,FXYD1,1.8039648532867432,4.564117110624983e-189
Bergmann Glia,15,ALDH1A1,1.7905031442642212,1.9457309365609794e-188
Bergmann Glia,16,TTYH1,1.6847724914550781,4.030008469767266e-188
Bergmann Glia,17,CA8,1.9967156648635864,7.658916155784633e-188
Bergmann Glia,18,GLUL,1.4729399681091309,2.372069878597712e-173
Bergmann Glia,19,SCG3,1.6425772905349731,4.955459325674635e-173
Bergmann Glia,20,PPP1R1B,1.799329161643982,1.0495902104268272e-172
Bergmann Glia,21,PVALB,2.2329046726226807,1.4343921873505047e-172
Bergmann Glia,22,GPR37L1,1.8996076583862305,3.489887947683036e-167
Bergmann Glia,23,GRIA1,1.9213203191757202,3.038617249850151e-166
Bergmann Glia,24,PTGDS,1.2959256172180176,5.467079045710568e-166
Bergmann Glia,25,SCD5,1.542563557624817,4.574064473801431e-164
Bergmann Glia,26,PTN,1.6106775999069214,7.929217399855656e-164
Bergmann Glia,27,GNG13,1.8654727935791016,4.5110690306247875e-160
Bergmann Glia,28,GJA1,1.8669734001159668,2.6266775178941953e-152
Bergmann Glia,29,CPE,1.0998642444610596,9.853194116980514e-152
Bergmann Glia,30,GPM6B,1.4871267080307007,6.947439513096865e-150
Bergmann Glia,31,DBI,1.4541491270065308,9.718221423767517e-149
Bergmann Glia,32,GPRC5B,1.482783317565918,3.011208738375823e-147
Bergmann Glia,33,MLC1,1.7032549381256104,5.7629639472232195e-145
Bergmann Glia,34,RAMP1,1.6922187805175781,1.1701296347493616e-142
Bergmann Glia,35,LCAT,1.9263004064559937,5.8943417022876726e-142
Bergmann Glia,36,CDC42EP4,1.6492414474487305,3.230886057040949e-141
Bergmann Glia,37,CST3,1.1396512985229492,5.151870493490333e-140
Bergmann Glia,38,SLC1A2,1.6478902101516724,5.725058464286891e-138
Bergmann Glia,39,RGCC,1.6599929332733154,9.520433680568437e-138
