Biomarker_Name,Original_Index,Attention_Score
369,369,0.91460013
76,76,0.04010945
220,220,0.031198688
435,435,0.006817939
330,330,0.0048988685
169,169,0.0012721315
289,289,0.000371498
490,490,0.00015949189
375,375,0.00010870055
323,323,9.806164e-05
261,261,8.009346e-05
250,250,6.787726e-05
383,383,4.5156106e-05
286,286,4.408576e-05
319,319,3.2069125e-05
476,476,2.4076871e-05
36,36,2.0031195e-05
388,388,1.5563559e-05
397,397,9.725014e-06
318,318,7.686702e-06
495,495,3.8982516e-06
402,402,3.6124347e-06
236,236,3.315962e-06
304,304,1.7144843e-06
175,175,1.0034929e-06
401,401,8.3956513e-07
337,337,5.829568e-07
464,464,5.568637e-07
44,44,5.551272e-07
344,344,4.6674984e-07
134,134,3.133757e-07
445,445,2.3644351e-07
473,473,2.1871935e-07
360,360,2.0448375e-07
275,275,1.2884273e-07
112,112,1.255336e-07
119,119,1.0720586e-07
379,379,9.8174525e-08
99,99,7.948656e-08
126,126,6.689777e-08
406,406,6.479479e-08
392,392,6.0870924e-08
415,415,5.633765e-08
350,350,4.155679e-08
41,41,3.9578808e-08
65,65,3.1882145e-08
263,263,2.9555874e-08
279,279,2.937104e-08
231,231,2.8555597e-08
352,352,2.0854097e-08
269,269,1.4561255e-08
338,338,1.3275635e-08
144,144,1.2990955e-08
179,179,1.2417212e-08
298,298,1.038776e-08
137,137,1.0180977e-08
331,331,1.0047291e-08
92,92,9.577797e-09
290,290,9.375631e-09
172,172,7.9005416e-09
210,210,6.496627e-09
457,457,6.4905703e-09
300,300,6.212927e-09
216,216,5.002464e-09
233,233,4.282557e-09
174,174,3.721673e-09
320,320,3.6811285e-09
197,197,3.410226e-09
242,242,2.9207623e-09
147,147,2.6695586e-09
301,301,2.4141016e-09
421,421,2.2427389e-09
173,173,2.223334e-09
310,310,2.123265e-09
66,66,2.0957602e-09
151,151,1.9955058e-09
487,487,1.70684e-09
436,436,1.6429994e-09
420,420,1.4862356e-09
221,221,1.300131e-09
456,456,1.193477e-09
104,104,1.1902012e-09
372,372,8.423611e-10
482,482,7.7446544e-10
107,107,7.6570694e-10
83,83,7.512764e-10
8,8,7.333443e-10
196,196,6.569544e-10
480,480,6.392488e-10
266,266,6.338823e-10
257,257,5.7765853e-10
156,156,5.657158e-10
273,273,4.961857e-10
389,389,4.689761e-10
313,313,4.673901e-10
95,95,4.11821e-10
317,317,3.7848746e-10
116,116,3.548359e-10
381,381,3.4977074e-10
291,291,3.2734437e-10
