Gene_set,Term,Overlap,P-value,Odds Ratio,Combined Score,Genes,Adjusted P-value
GO_Biological_Process_2021,mRNA catabolic process (GO:0006402),7/44,0.00010062441995836129,7.468943440956687,68.74501874050145,AGO1;AGO3;AGO4;EXOSC10;MRTO4;THRAP3;YTHDF2,0.24552358469840155
GO_Biological_Process_2021,production of small RNA involved in gene silencing by RNA (GO:0070918),5/20,0.00010874218451017733,13.121211862871142,119.75114363746856,AGO1;AGO3;AGO4;PUM1;SNIP1,0.26533093020483267
GO_Biological_Process_2021,regulation of cell morphogenesis (GO:0022604),6/32,0.00012350916722787876,9.097165812421121,81.86717069511394,CAPZB;MACF1;MFSD2A;PDPN;ZMYM4;ZMYM6,0.3013623680360242
GO_Biological_Process_2021,mRNA cleavage involved in gene silencing by miRNA (GO:0035279),3/5,0.00014960345137069708,58.84708134110501,518.2969883824288,AGO1;AGO3;AGO4,0.36503242134450087
GO_Biological_Process_2021,cell junction disassembly (GO:0150146),3/6,0.00029364330990119754,39.22937548834255,319.0581896444837,C1QA;C1QB;C1QC,0.716489676158922
GO_Biological_Process_2021,regulation of lamellipodium organization (GO:1902743),4/14,0.00031650037451743057,15.717741626658437,126.65648761908732,CAPZB;CDC42;EPHA2;PDPN,0.7722609138225306
GO_Biological_Process_2021,"RNA splicing, via transesterification reactions (GO:0000375)",5/25,0.0003361084592171394,9.83838364467912,78.68814654943662,SF3A3;SNRNP40;SRRM1;SRSF10;SRSF4,0.8201046404898201
GO_Biological_Process_2021,miRNA loading onto RISC involved in gene silencing by miRNA (GO:0035280),3/7,0.0005043324007611435,29.420522561961317,223.3686974034404,AGO1;AGO3;AGO4,1.0
GO_Biological_Process_2021,mRNA metabolic process (GO:0016071),9/95,0.0006214697893876651,4.137877055165673,30.551697685308213,AGO3;AGO4;AURKAIP1;HNRNPR;LSM10;SF3A3;SFPQ;SRSF4;YTHDF2,1.0
GO_Biological_Process_2021,production of miRNAs involved in gene silencing by miRNA (GO:0035196),5/29,0.0006918951324455556,8.196969535583108,59.64177459372175,AGO1;AGO3;AGO4;PUM1;SNIP1,1.0
GO_Biological_Process_2021,RNA secondary structure unwinding (GO:0010501),3/8,0.000791964688140111,23.53521080613258,168.06479333799416,AGO1;AGO3;AGO4,1.0
GO_Biological_Process_2021,gene silencing by miRNA (GO:0035195),5/32,0.0011031697434970627,7.285072808307545,49.6081961815319,AGO1;AGO3;AGO4;PUM1;SNIP1,1.0
GO_Biological_Process_2021,carbohydrate derivative catabolic process (GO:1901136),4/19,0.0011097737392891315,10.475806245783478,71.27318618562046,FBXO2;FBXO44;FBXO6;FUCA1,1.0
GO_Biological_Process_2021,synapse pruning (GO:0098883),3/9,0.0011659403745782181,19.61166963558009,132.46167502163868,C1QA;C1QB;C1QC,1.0
GO_Biological_Process_2021,small RNA loading onto RISC (GO:0070922),3/9,0.0011659403745782181,19.61166963558009,132.46167502163868,AGO1;AGO3;AGO4,1.0
GO_Biological_Process_2021,"complement activation, classical pathway (GO:0006958)",3/9,0.0011659403745782181,19.61166963558009,132.46167502163868,C1QA;C1QB;C1QC,1.0
GO_Biological_Process_2021,regulation of cell growth (GO:0001558),14/217,0.0011747219612384245,2.7383283117556965,18.474744760603034,ATAD3A;CDC42;CDK11A;CDK11B;ENO1;MAD2L2;MFSD2A;MTOR;MUL1;PPT1;PTCH2;RPS6KA1;SESN2;SLC25A33,1.0
GO_Biological_Process_2021,regulation of lamellipodium assembly (GO:0010591),5/34,0.0014630937902979247,6.7819573725693045,44.267206070654936,AKIRIN1;CAPZB;CDC42;EPHA2;WASF2,1.0
GO_Biological_Process_2021,membrane lipid catabolic process (GO:0046466),3/10,0.0016348123547037037,16.809140228042594,107.8512635631592,FUCA1;PPT1;SMPDL3B,1.0
GO_Biological_Process_2021,regulation of signal transduction by p53 class mediator (GO:1901796),11/156,0.0019211790047493852,3.002679581921086,18.781208941740367,CHD5;HDAC1;MEAF6;MTOR;NOC2L;PLK3;RBBP4;RPA2;RPL11;TAF12;TP73,1.0
GO_Biological_Process_2021,cellular macromolecule catabolic process (GO:0044265),6/53,0.0020106203085184246,5.027047880837604,31.21450869746928,DFFB;FBXO2;FBXO44;FBXO6;PABPC4;PPP1R8,1.0
GO_Biological_Process_2021,regulation of transport (GO:0051049),5/37,0.0021554838399501846,6.1452018992130935,37.729942283091155,DISP3;EPB41;MUL1;PINK1;YRDC,1.0
GO_Biological_Process_2021,ribonucleoside bisphosphate biosynthetic process (GO:0034030),3/11,0.002206330708167066,14.707243172389475,89.9557418250283,ACOT7;PANK4;PPCS,1.0
GO_Biological_Process_2021,positive regulation of cellular respiration (GO:1901857),3/11,0.002206330708167066,14.707243172389475,89.9557418250283,IFNLR1;PARK7;PINK1,1.0
GO_Biological_Process_2021,miRNA mediated inhibition of translation (GO:0035278),3/11,0.002206330708167066,14.707243172389475,89.9557418250283,AGO1;AGO3;AGO4,1.0
