Gene_set,Term,Overlap,P-value,Odds Ratio,Combined Score,Genes,Adjusted P-value
MSigDB_Hallmark_2020,Glycolysis,10/200,0.029308781456862647,2.0741138148140035,7.321348189514224,AGRN;AKR1A1;ARTN;B3GALT6;B4GALT2;ENO1;GALE;PLOD1;SDC3;STMN1,1.0
MSigDB_Hallmark_2020,Protein Secretion,5/96,0.09282911572597122,2.1544011119879007,5.121000544836598,KIF1B;PPT1;RER1;STX12;VAMP3,1.0
MSigDB_Hallmark_2020,Pperoxisome,5/104,0.11952795440831156,1.9794918496133675,4.204846497996087,CTPS1;DHRS3;HMGCL;PEX14;PRDX1,1.0
MSigDB_Hallmark_2020,TGF-beta Signaling,3/54,0.1523633239315413,2.301929177260272,4.331050561566961,HDAC1;ID3;SKI,1.0
MSigDB_Hallmark_2020,Myc Targets V2,3/58,0.1767583884987655,2.134077148573535,3.6982949106770455,MAP3K6;MRTO4;SRM,1.0
MSigDB_Hallmark_2020,Myc Targets V1,7/200,0.23518409886121117,1.4203932498359524,2.0558582589898884,CTPS1;HNRNPR;PABPC4;PSMB2;RPL22;SRM;TARDBP,1.0
MSigDB_Hallmark_2020,DNA Repair,5/150,0.3216198915414411,1.3483106665963014,1.5295032496155005,AGO4;ELOA;RPA2;SF3A3;TAF12,1.0
MSigDB_Hallmark_2020,Hypoxia,6/200,0.3840061711201364,1.2086898213107993,1.156832985994739,B3GALT6;ENO1;ERRFI1;SDC3;SLC2A1;SLC2A5,1.0
MSigDB_Hallmark_2020,heme Metabolism,6/200,0.3840061711201364,1.2086898213107993,1.156832985994739,EPB41;ERMAP;RAP1GAP;SLC2A1;SLC6A9;UROD,1.0
MSigDB_Hallmark_2020,Cholesterol Homeostasis,2/74,0.5554555867903456,1.0836679841521377,0.6371606071230386,ERRFI1;FBXO6,1.0
MSigDB_Hallmark_2020,Notch Signaling,1/32,0.5555005360521854,1.2585816549123852,0.7399021633880875,HEYL,1.0
MSigDB_Hallmark_2020,Mitotic Spindle,5/199,0.5581370151826105,1.005206686451099,0.5861870831886665,CAPZB;CDC42;EPB41;KIF1B;WASF2,1.0
