Gene_set,Term,Overlap,P-value,Odds Ratio,Combined Score,Genes,Adjusted P-value
Reactome_2022,PTEN Regulation R-HSA-6807070,12/139,0.000196903003058356,3.7510648534295155,32.00708363338531,AGO1;AGO3;AGO4;HDAC1;KDM1A;MTOR;OTUD3;PHC2;PSMB2;RBBP4;RRAGC;SCMH1,0.1691396796271278
Reactome_2022,Classical Antibody-Mediated Complement Activation R-HSA-173623,3/6,0.00029364330990119754,39.22937548834255,319.0581896444837,C1QA;C1QB;C1QC,0.25223960320512867
Reactome_2022,Post-transcriptional Silencing By Small RNAs R-HSA-426496,3/7,0.0005043324007611435,29.420522561961317,223.3686974034404,AGO1;AGO3;AGO4,0.43322153225382226
Reactome_2022,Regulation Of PTEN Gene Transcription R-HSA-8943724,7/61,0.0007951845480283511,5.1131394075916425,36.4921504207058,HDAC1;KDM1A;MTOR;PHC2;RBBP4;RRAGC;SCMH1,0.6830635267563536
Reactome_2022,Small Interfering RNA (siRNA) Biogenesis R-HSA-426486,3/9,0.0011659403745782181,19.61166963558009,132.46167502163868,AGO1;AGO3;AGO4,1.0
Reactome_2022,Defective B3GALT6 Causes EDSP2 And SEMDJL1 R-HSA-4420332,4/20,0.0013600316279838687,9.820564323174107,64.81815339059919,AGRN;B3GALT6;HSPG2;SDC3,1.0
Reactome_2022,Competing Endogenous RNAs (ceRNAs) Regulate PTEN Translation R-HSA-8948700,3/10,0.0016348123547037037,16.809140228042594,107.8512635631592,AGO1;AGO3;AGO4,1.0
Reactome_2022,NR1H3 And NR1H2 Regulate Gene Expression Linked To Cholesterol Transport And Efflux R-HSA-9029569,5/36,0.0019027251874545535,6.343760057571481,39.74028258615105,AGO1;AGO3;AGO4;KDM1A;KDM4A,1.0
Reactome_2022,Regulation Of PTEN mRNA Translation R-HSA-8943723,3/11,0.002206330708167066,14.707243172389475,89.9557418250283,AGO1;AGO3;AGO4,1.0
Reactome_2022,Metabolism Of Vitamins And Cofactors R-HSA-196854,12/186,0.002575286018037261,2.7312040155420325,16.28287755911537,AGRN;HSPG2;LDLRAP1;MMACHC;MTHFR;NADK;NMNAT1;PANK4;PPCS;SDC3;SLC2A1;UBIAD1,1.0
Reactome_2022,Diseases Associated With Glycosaminoglycan Metabolism R-HSA-3560782,5/40,0.003060402072045404,5.61760450700366,32.521486433069214,AGRN;B3GALT6;HSPG2;SDC3;ST3GAL3,1.0
Reactome_2022,"Defective EXT1 Causes Exostoses 1, TRPS2 And CHDS R-HSA-3656253",3/13,0.0036845465975274493,11.764587294475106,65.92413313804617,AGRN;HSPG2;SDC3,1.0
Reactome_2022,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475,4/26,0.0037280674374858378,7.140029185226686,39.926081390932126,AGRN;B3GALT6;HSPG2;SDC3,1.0
Reactome_2022,TP53 Regulates Metabolic Genes R-HSA-5628897,7/81,0.004137944794699019,3.727372329141617,20.454164541115166,AGO1;AGO3;AGO4;MTOR;PRDX1;RRAGC;SESN2,1.0
Reactome_2022,Creation Of C4 And C2 Activators R-HSA-166786,3/14,0.004603104658348365,10.694530611597154,57.547528856603925,C1QA;C1QB;C1QC,1.0
Reactome_2022,TNFs Bind Their Physiological Receptors R-HSA-5669034,4/29,0.005583706546305348,6.28225794108351,32.59174147400963,TNFRSF14;TNFRSF18;TNFRSF1B;TNFRSF25,1.0
Reactome_2022,NR1H2 And NR1H3-mediated Signaling R-HSA-9024446,5/46,0.005642116898755873,4.794037845993815,24.82111151852099,AGO1;AGO3;AGO4;KDM1A;KDM4A,1.0
Reactome_2022,mRNA Splicing - Major Pathway R-HSA-72163,11/181,0.005968935655535624,2.557800983540699,13.098976249310027,DNAJC8;HNRNPR;PPIE;PPIH;SF3A3;SNRNP40;SRRM1;SRSF10;SRSF4;SYF2;YBX1,1.0
Reactome_2022,Regulation Of MECP2 Expression And Activity R-HSA-9022692,4/31,0.0071127874355616455,5.81630812945018,28.76665193469082,AGO1;AGO3;AGO4;HDAC1,1.0
Reactome_2022,PIP3 Activates AKT Signaling R-HSA-1257604,14/268,0.0078103403137254135,2.182722486276246,10.59123903602777,AGO1;AGO3;AGO4;CASP9;CLSTN1;HDAC1;KDM1A;MTOR;OTUD3;PHC2;PSMB2;RBBP4;RRAGC;SCMH1,1.0
Reactome_2022,Regulation Of RUNX1 Expression And Activity R-HSA-8934593,3/17,0.008134227858674296,8.401552005430114,40.42553319859564,AGO1;AGO3;AGO4,1.0
Reactome_2022,mRNA Splicing R-HSA-72172,11/189,0.008163442377509425,2.441832629805587,11.740549434929546,DNAJC8;HNRNPR;PPIE;PPIH;SF3A3;SNRNP40;SRRM1;SRSF10;SRSF4;SYF2;YBX1,1.0
Reactome_2022,Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849,8/122,0.011631786040329972,2.7650833855335355,12.315719425746055,LDLRAP1;MMACHC;MTHFR;NADK;NMNAT1;PANK4;PPCS;SLC2A1,1.0
Reactome_2022,Amino Acids Regulate mTORC1 R-HSA-9639288,5/55,0.011932381384421289,3.9292928519334773,17.400871232421647,ATP6V0B;MTOR;RRAGC;SESN2;SZT2,1.0
Reactome_2022,Defective B3GAT3 Causes JDSSDHD R-HSA-3560801,3/20,0.012902284446845946,6.917859966145556,30.095118290986342,AGRN;HSPG2;SDC3,1.0
Reactome_2022,"Defective B4GALT7 Causes EDS, Progeroid Type R-HSA-3560783",3/20,0.012902284446845946,6.917859966145556,30.095118290986342,AGRN;HSPG2;SDC3,1.0
Reactome_2022,HS-GAG Degradation R-HSA-2024096,3/21,0.014778141234215728,6.533199067071783,27.534860860126408,AGRN;HSPG2;SDC3,1.0
Reactome_2022,Initial Triggering Of Complement R-HSA-166663,3/21,0.014778141234215728,6.533199067071783,27.534860860126408,C1QA;C1QB;C1QC,1.0
Reactome_2022,Coenzyme A Biosynthesis R-HSA-196783,2/8,0.01580506091960724,13.04819251576588,54.11640087381568,PANK4;PPCS,1.0
Reactome_2022,Transcriptional Regulation By TP53 R-HSA-3700989,16/354,0.01701649185332067,1.874125836382309,7.634387086602129,AGO1;AGO3;AGO4;ARTN;ELOA;HDAC1;MEAF6;MTOR;NOC2L;PLK3;PRDX1;RBBP4;RRAGC;SESN2;TAF12;TP73,1.0
Reactome_2022,Regulation Of TP53 Activity R-HSA-5633007,9/157,0.017394673578947785,2.3967633145647373,9.710705239522648,ARTN;HDAC1;MEAF6;MTOR;NOC2L;PLK3;RBBP4;TAF12;TP73,1.0
Reactome_2022,MicroRNA (miRNA) Biogenesis R-HSA-203927,3/24,0.021284499474966644,5.599022597892619,21.55498391468585,AGO1;AGO3;AGO4,1.0
Reactome_2022,Other Interleukin Signaling R-HSA-449836,3/24,0.021284499474966644,5.599022597892619,21.55498391468585,CSF3R;IFNLR1;TXLNA,1.0
Reactome_2022,Intracellular Signaling By Second Messengers R-HSA-9006925,14/306,0.02241754396179862,1.894920757982633,7.1967411755415815,AGO1;AGO3;AGO4;CASP9;CLSTN1;HDAC1;KDM1A;MTOR;OTUD3;PHC2;PSMB2;RBBP4;RRAGC;SCMH1,1.0
