Rank,Biomarker_Name,Original_Index,Attention_Score,Ensembl ID,Gene Name
1,369,369,0.91460013,ENSG00000116544,DLGAP3
2,76,76,0.04010945,ENSG00000169598,DFFB
3,220,220,0.031198688,ENSG00000218510,LINC00339
4,435,435,0.006817939,ENSG00000084070,SMAP2
5,330,330,0.0048988685,ENSG00000142910,TINAGL1
6,169,169,0.0012721315,ENSG00000183888,SRARP
7,289,289,0.000371498,ENSG00000142765,SYTL1
8,490,490,0.00015949189,ENSG00000126088,UROD
9,375,375,0.00010870055,ENSG00000142687,KIAA0319L
10,323,323,9.806164e-05,ENSG00000162512,SDC3
11,261,261,8.009346e-05,ENSG00000117643,MAN1C1
12,250,250,6.787726e-05,ENSG00000001461,NIPAL3
13,383,383,4.5156106e-05,ENSG00000126070,AGO3
14,286,286,4.408576e-05,ENSG00000090020,SLC9A1
15,319,319,3.2069125e-05,ENSG00000116350,SRSF4
16,476,476,2.4076871e-05,ENSG00000159214,CCDC24
17,36,36,2.0031195e-05,ENSG00000286989,AL691432.4
18,388,388,1.5563559e-05,ENSG00000054118,THRAP3
19,397,397,9.725014e-06,ENSG00000163873,GRIK3
20,318,318,7.686702e-06,ENSG00000253304,TMEM200B
21,495,495,3.8982516e-06,ENSG00000070759,TESK2
22,402,402,3.6124347e-06,ENSG00000163879,DNALI1
23,236,236,3.315962e-06,ENSG00000117318,ID3
24,304,304,1.7144843e-06,ENSG00000126698,DNAJC8
25,175,175,1.0034929e-06,ENSG00000288398,AL109627.1
26,401,401,8.3956513e-07,ENSG00000163877,SNIP1
27,337,337,5.829568e-07,ENSG00000025800,KPNA6
28,464,464,5.568637e-07,ENSG00000159479,MED8
29,44,44,5.551272e-07,ENSG00000008130,NADK
30,344,344,4.6674984e-07,ENSG00000116478,HDAC1
31,134,134,3.133757e-07,ENSG00000171819,ANGPTL7
32,445,445,2.3644351e-07,ENSG00000127124,HIVEP3
33,473,473,2.1871935e-07,ENSG00000132768,DPH2
34,360,360,2.0448375e-07,ENSG00000004455,AK2
35,275,275,1.2884273e-07,ENSG00000117682,DHDDS
36,112,112,1.255336e-07,ENSG00000188807,TMEM201
37,119,119,1.0720586e-07,ENSG00000130939,UBE4B
38,379,379,9.8174525e-08,ENSG00000126067,PSMB2
39,99,99,7.948656e-08,ENSG00000270171,AL359881.3
40,126,126,6.689777e-08,ENSG00000142655,PEX14
41,406,406,6.479479e-08,ENSG00000185090,MANEAL
42,392,392,6.0870924e-08,ENSG00000196182,STK40
43,415,415,5.633765e-08,ENSG00000116954,RRAGC
44,350,350,4.155679e-08,ENSG00000176261,ZBTB8OS
45,41,41,3.9578808e-08,ENSG00000189339,SLC35E2B
46,65,65,3.1882145e-08,ENSG00000157873,TNFRSF14
47,263,263,2.9555874e-08,ENSG00000117640,MTFR1L
48,279,279,2.937104e-08,ENSG00000060642,PIGV
49,231,231,2.8555597e-08,ENSG00000125944,HNRNPR
50,352,352,2.0854097e-08,ENSG00000162520,SYNC
51,269,269,1.4561255e-08,ENSG00000197245,FAM110D
52,338,338,1.3275635e-08,ENSG00000250135,AL049795.2
53,144,144,1.2990955e-08,ENSG00000116685,KIAA2013
54,179,179,1.2417212e-08,ENSG00000261135,AL137802.2
55,298,298,1.038776e-08,ENSG00000117751,PPP1R8
56,137,137,1.0180977e-08,ENSG00000116661,FBXO2
57,331,331,1.0047291e-08,ENSG00000162517,PEF1
58,92,92,9.577797e-09,ENSG00000204859,ZBTB48
59,290,290,9.375631e-09,ENSG00000142733,MAP3K6
60,172,172,7.9005416e-09,ENSG00000184908,CLCNKB
61,210,210,6.496627e-09,ENSG00000244038,DDOST
62,457,457,6.4905703e-09,ENSG00000164010,ERMAP
63,300,300,6.212927e-09,ENSG00000117748,RPA2
64,216,216,5.002464e-09,ENSG00000162551,ALPL
65,233,233,4.282557e-09,ENSG00000249087,ZNF436-AS1
66,174,174,3.721673e-09,ENSG00000142627,EPHA2
67,320,320,3.6811285e-09,ENSG00000116353,MECR
68,197,197,3.410226e-09,ENSG00000053371,AKR7A2
69,242,242,2.9207623e-09,ENSG00000117308,GALE
70,147,147,2.6695586e-09,ENSG00000116691,MIIP
71,301,301,2.4141016e-09,ENSG00000130768,SMPDL3B
72,421,421,2.2427389e-09,ENSG00000183682,BMP8A
73,173,173,2.223334e-09,ENSG00000185519,FAM131C
74,310,310,2.123265e-09,ENSG00000180198,RCC1
75,66,66,2.0957602e-09,ENSG00000157870,PRXL2B
76,151,151,1.9955058e-09,ENSG00000162494,LRRC38
77,487,487,1.70684e-09,ENSG00000117425,PTCH2
78,436,436,1.6429994e-09,ENSG00000187815,ZFP69
79,420,420,1.4862356e-09,ENSG00000127603,MACF1
80,221,221,1.300131e-09,ENSG00000070831,CDC42
81,456,456,1.193477e-09,ENSG00000177868,SVBP
82,104,104,1.1902012e-09,ENSG00000116285,ERRFI1
83,372,372,8.423611e-10,ENSG00000197056,ZMYM1
84,482,482,7.7446544e-10,ENSG00000126106,TMEM53
85,107,107,7.6570694e-10,ENSG00000074800,ENO1
86,83,83,7.512764e-10,ENSG00000226944,AL031847.1
87,8,8,7.333443e-10,ENSG00000187608,ISG15
88,196,196,6.569544e-10,ENSG00000162482,AKR7A3
89,480,480,6.392488e-10,ENSG00000117419,ERI3
90,266,266,6.338823e-10,ENSG00000158006,PAFAH2
91,257,257,5.7765853e-10,ENSG00000183726,TMEM50A
92,156,156,5.657158e-10,ENSG00000175147,TMEM51-AS1
93,273,273,4.961857e-10,ENSG00000142669,SH3BGRL3
