Biomarker_Name,Original_Index,Attention_Score,Ensembl ID,Gene Name
466,466,0.9383539,ENSG00000178922,HYI
293,293,0.027716098,ENSG00000126705,AHDC1
23,23,0.017425762,ENSG00000175756,AURKAIP1
92,92,0.01640437,ENSG00000204859,ZBTB48
468,468,5.297782e-05,ENSG00000066135,KDM4A
329,329,3.5807632e-05,ENSG00000168528,SERINC2
45,45,6.027333e-06,ENSG00000078369,GNB1
44,44,1.805641e-06,ENSG00000008130,NADK
462,462,1.6843269e-06,ENSG00000066056,TIE1
152,152,4.7359435e-07,ENSG00000259961,AL354712.1
140,140,3.5930333e-07,ENSG00000116670,MAD2L2
176,176,1.3548042e-07,ENSG00000037637,FBXO42
355,355,9.759741e-08,ENSG00000116497,S100PBP
47,47,8.645909e-08,ENSG00000178821,TMEM52
246,246,8.031054e-08,ENSG00000188529,SRSF10
162,162,7.232862e-08,ENSG00000116786,PLEKHM2
185,185,5.9790985e-08,ENSG00000117115,PADI2
5,5,3.9312834e-08,ENSG00000188976,NOC2L
291,291,2.2084576e-08,ENSG00000181773,GPR3
361,361,2.0501158e-08,ENSG00000142920,AZIN2
469,469,1.2018173e-08,ENSG00000126091,ST3GAL3
135,135,1.0880382e-08,ENSG00000120942,UBIAD1
115,115,1.0340078e-08,ENSG00000178585,CTNNBIP1
372,372,6.6765398e-09,ENSG00000197056,ZMYM1
408,408,5.0382276e-09,ENSG00000197982,C1orf122
286,286,4.8664432e-09,ENSG00000090020,SLC9A1
74,74,4.664213e-09,ENSG00000130764,LRRC47
487,487,4.1396637e-09,ENSG00000117425,PTCH2
318,318,3.8811105e-09,ENSG00000253304,TMEM200B
125,125,3.7355545e-09,ENSG00000160049,DFFA
108,108,3.4377323e-09,ENSG00000142583,SLC2A5
288,288,2.8912905e-09,ENSG00000186501,TMEM222
100,100,2.7020408e-09,ENSG00000269978,AL359881.1
86,86,2.4918019e-09,ENSG00000158292,GPR153
73,73,1.8421539e-09,ENSG00000235169,SMIM1
342,342,1.7079663e-09,ENSG00000160055,TMEM234
388,388,1.6480992e-09,ENSG00000054118,THRAP3
261,261,1.1514413e-09,ENSG00000117643,MAN1C1
