Cell Type,Cell Count,Percentage (%)
Epithelial cells,1313,23.610861355871247
Tcm Naive cytotoxic T cells,699,12.569681711922314
Macrophages,666,11.976263262003236
Endothelial cells,634,11.400827189354432
Fibroblasts,553,9.944254630462147
NK cells,200,3.596475454055026
B cells,172,3.0929688904873225
Tcm Naive helper T cells,156,2.8052508541629204
Double-positive thymocytes,118,2.1219205178924656
Monocytes,92,1.6543787088653121
Intermediate macrophages,83,1.4925373134328357
CD16+ NK cells,69,1.240784031648984
Tem Trm cytotoxic T cells,62,1.114907390757058
Classical monocytes,59,1.0609602589462328
Memory B cells,58,1.0429778816759576
Type 1 helper T cells,58,1.0429778816759576
Type 17 helper T cells,49,0.8811364862434813
Alveolar macrophages,45,0.8092069771623809
Follicular B cells,44,0.7912245998921057
Tem Effector helper T cells,34,0.6114008271893544
Naive B cells,33,0.5934184499190793
Plasma cells,32,0.5754360726488041
Early erythroid,32,0.5754360726488041
Treg(diff),26,0.46754180902715337
Regulatory T cells,25,0.44955943175687824
gamma-delta T cells,25,0.44955943175687824
Mono-mac,19,0.34166516813522746
Intestinal macrophages,15,0.26973565905412694
Tem Temra cytotoxic T cells,14,0.2517532817838518
CRTAM+ gamma-delta T cells,13,0.23377090451357668
NKT cells,13,0.23377090451357668
CD16- NK cells,12,0.21578852724330158
Myelocytes,12,0.21578852724330158
DC1,11,0.19780614997302642
Megakaryocytes platelets,11,0.19780614997302642
Mid erythroid,10,0.17982377270275132
Early lymphoid T lymphoid,8,0.14385901816220104
Mast cells,8,0.14385901816220104
Plasmablasts,7,0.1258766408919259
Pre-pro-B cells,6,0.10789426362165079
Follicular helper T cells,6,0.10789426362165079
DC precursor,6,0.10789426362165079
Age-associated B cells,6,0.10789426362165079
Transitional B cells,5,0.08991188635137566
Cycling T cells,4,0.07192950908110052
MAIT cells,4,0.07192950908110052
Small pre-B cells,3,0.053947131810825395
Cycling NK cells,3,0.053947131810825395
T(agonist),3,0.053947131810825395
Double-negative thymocytes,3,0.053947131810825395
Proliferative germinal center B cells,2,0.03596475454055026
Erythrophagocytic macrophages,2,0.03596475454055026
Non-classical monocytes,2,0.03596475454055026
pDC precursor,2,0.03596475454055026
Neutrophil-myeloid progenitor,1,0.01798237727027513
pDC,1,0.01798237727027513
ILC3,1,0.01798237727027513
Germinal center B cells,1,0.01798237727027513
Neutrophils,1,0.01798237727027513
MEMP,1,0.01798237727027513
Trm cytotoxic T cells,1,0.01798237727027513
DC3,1,0.01798237727027513
Large pre-B cells,1,0.01798237727027513
Granulocytes,1,0.01798237727027513
Cycling B cells,1,0.01798237727027513
Pro-B cells,1,0.01798237727027513
CMP,1,0.01798237727027513
Hofbauer cells,1,0.01798237727027513
