cell_type,rank,gene_symbol,log2FC,p_val_adj
Age-associated B cells,1,RBPMS,2.3999879360198975,0.9919648209980824
Age-associated B cells,2,PPP1R14A,3.1877739429473877,0.9919648209980824
Age-associated B cells,3,LBH,2.189995288848877,0.9919648209980824
Age-associated B cells,4,SIN3B,2.5675418376922607,0.9919648209980824
Age-associated B cells,5,ACTG2,2.501569986343384,0.9919648209980824
Age-associated B cells,6,MRVI1,2.3044869899749756,0.9919648209980824
Age-associated B cells,7,PKN1,2.4754409790039062,0.9919648209980824
Age-associated B cells,8,NID1,2.1653096675872803,0.9919648209980824
Age-associated B cells,9,ESAM,3.158233642578125,0.9919648209980824
Age-associated B cells,10,TJP1,1.9590680599212646,0.9919648209980824
Age-associated B cells,11,ATP2C1,2.1191341876983643,0.9919648209980824
Age-associated B cells,12,ARL2,2.012484550476074,0.9919648209980824
Age-associated B cells,13,RNF130,2.1400485038757324,0.9919648209980824
Age-associated B cells,14,SDF4,2.2079415321350098,0.9919648209980824
Age-associated B cells,15,CSRP1,1.8567215204238892,0.9919648209980824
Age-associated B cells,16,LAPTM4A,1.7598856687545776,0.9919648209980824
Age-associated B cells,17,ANAPC16,1.8169196844100952,0.9919648209980824
Age-associated B cells,18,WFDC1,2.6240954399108887,0.9919648209980824
Age-associated B cells,19,DNAJB2,2.5502004623413086,0.9919648209980824
Age-associated B cells,20,FMNL1,2.782160997390747,0.9919648209980824
Age-associated B cells,21,DGCR2,2.7123162746429443,0.9919648209980824
Age-associated B cells,22,BOD1,2.623029947280884,0.9919648209980824
Age-associated B cells,23,KLF6,1.405205249786377,0.9919648209980824
Age-associated B cells,24,GSN,1.5429766178131104,0.9919648209980824
Age-associated B cells,25,TBCB,2.0516421794891357,0.9919648209980824
Age-associated B cells,26,AEBP1,1.3032952547073364,0.9919648209980824
Age-associated B cells,27,ECE1,1.7623051404953003,0.9919648209980824
Age-associated B cells,28,KLF9,1.919546365737915,0.9919648209980824
Age-associated B cells,29,GIT2,2.5630557537078857,0.9919648209980824
Age-associated B cells,30,MYADM,1.7990233898162842,0.9919648209980824
Age-associated B cells,31,IGHG1,2.2590761184692383,0.9919648209980824
Age-associated B cells,32,CSNK2B,2.3058393001556396,0.9919648209980824
Age-associated B cells,33,TLN1,1.5923858880996704,0.9919648209980824
Age-associated B cells,34,ITGA7,2.454547882080078,0.9919648209980824
Age-associated B cells,35,ATG16L2,2.376532554626465,0.9919648209980824
Age-associated B cells,36,SEPTIN9,1.5181881189346313,0.9919648209980824
Age-associated B cells,37,CTNNA1,1.64128577709198,0.9919648209980824
Age-associated B cells,38,MSL2,2.169062852859497,0.9919648209980824
Age-associated B cells,39,TM2D3,2.357297658920288,0.9919648209980824
Age-associated B cells,40,FUT8,2.291548490524292,0.9919648209980824
Age-associated B cells,41,APOD,2.725470781326294,0.9919648209980824
Age-associated B cells,42,MAP3K20,1.7522542476654053,0.9919648209980824
Age-associated B cells,43,MAP3K8,2.255117654800415,0.9919648209980824
Age-associated B cells,44,CCN2,1.276410698890686,0.9919648209980824
Age-associated B cells,45,NDUFS3,2.0653226375579834,0.9919648209980824
Age-associated B cells,46,FXYD5,1.4054845571517944,0.9919648209980824
Age-associated B cells,47,NCAPG,4.4415178298950195,0.9919648209980824
Age-associated B cells,48,PHRF1,1.997492790222168,0.9919648209980824
Age-associated B cells,49,MOCS1,3.9962167739868164,0.9919648209980824
Age-associated B cells,50,EGFLAM,3.7483129501342773,0.9919648209980824
Alveolar macrophages,1,IGKC,0.7640131711959839,0.1637906336737292
Alveolar macrophages,2,VIM,-0.2282845377922058,0.3174319087234035
Alveolar macrophages,3,C3,0.5392189025878906,0.5344638229451796
Alveolar macrophages,4,WNT9A,2.1944334506988525,0.5861935930873794
Alveolar macrophages,5,COL6A3,-0.2722848653793335,0.6012259435092692
Alveolar macrophages,6,ACKR1,1.7828614711761475,0.6025566208997583
Alveolar macrophages,7,FTH1,-0.7624720931053162,0.6316607550440231
Alveolar macrophages,8,FAM162B,3.289512872695923,0.7230034563979196
Alveolar macrophages,9,MGP,0.06739356368780136,0.7323839729283567
Alveolar macrophages,10,PYHIN1,2.966937303543091,0.8018215954564535
Alveolar macrophages,11,DTHD1,3.851626396179199,0.8027233778546572
Alveolar macrophages,12,ADIPOQ,2.973767042160034,0.8052676454143817
