Biomarker_Name,Original_Index,Attention_Score
466,466,0.9383539
293,293,0.027716098
23,23,0.017425762
92,92,0.01640437
468,468,5.297782e-05
329,329,3.5807632e-05
45,45,6.027333e-06
44,44,1.805641e-06
462,462,1.6843269e-06
152,152,4.7359435e-07
140,140,3.5930333e-07
176,176,1.3548042e-07
355,355,9.759741e-08
47,47,8.645909e-08
246,246,8.031054e-08
162,162,7.232862e-08
185,185,5.9790985e-08
5,5,3.9312834e-08
291,291,2.2084576e-08
361,361,2.0501158e-08
469,469,1.2018173e-08
135,135,1.0880382e-08
115,115,1.0340078e-08
372,372,6.6765398e-09
408,408,5.0382276e-09
286,286,4.8664432e-09
74,74,4.664213e-09
487,487,4.1396637e-09
318,318,3.8811105e-09
125,125,3.7355545e-09
108,108,3.4377323e-09
288,288,2.8912905e-09
100,100,2.7020408e-09
86,86,2.4918019e-09
73,73,1.8421539e-09
342,342,1.7079663e-09
388,388,1.6480992e-09
261,261,1.1514413e-09
401,401,1.0399469e-09
113,113,9.393972e-10
209,209,9.2166524e-10
182,182,8.557062e-10
166,166,6.103838e-10
211,211,4.766712e-10
451,451,3.661868e-10
394,394,3.398756e-10
460,460,2.7124286e-10
320,320,2.2705333e-10
16,16,1.915189e-10
333,333,1.5850211e-10
263,263,1.4668279e-10
309,309,1.4416018e-10
13,13,1.2907679e-10
431,431,1.2675708e-10
370,370,8.340599e-11
190,190,4.888356e-11
367,367,4.8127526e-11
378,378,4.705177e-11
304,304,3.0815895e-11
317,317,2.7674765e-11
78,78,2.4280213e-11
38,38,2.3214564e-11
3,3,2.1708753e-11
248,248,2.0462607e-11
215,215,1.9425336e-11
303,303,1.9126544e-11
250,250,1.8773498e-11
260,260,1.803289e-11
377,377,1.4607685e-11
156,156,1.3995094e-11
440,440,1.3964669e-11
207,207,1.2944853e-11
94,94,1.2739277e-11
189,189,1.2269694e-11
254,254,1.16856915e-11
476,476,1.0326444e-11
376,376,8.985162e-12
21,21,7.926383e-12
475,475,7.460292e-12
155,155,6.9377937e-12
102,102,6.8064994e-12
345,345,6.446366e-12
456,456,5.7586253e-12
341,341,4.8012714e-12
374,374,4.492073e-12
383,383,3.8834e-12
434,434,3.8644548e-12
483,483,3.8607416e-12
193,193,3.816855e-12
477,477,3.7167643e-12
307,307,3.3898372e-12
15,15,3.0041345e-12
267,267,2.9494649e-12
480,480,2.9281423e-12
448,448,2.8640406e-12
386,386,2.6057249e-12
7,7,2.4579765e-12
314,314,2.4319782e-12
459,459,2.4119478e-12
300,300,2.4027327e-12
169,169,2.2873834e-12
467,467,2.235773e-12
402,402,2.1061995e-12
159,159,1.774491e-12
104,104,1.7330775e-12
6,6,1.6834705e-12
311,311,1.6113532e-12
118,118,1.4762711e-12
217,217,1.4525883e-12
126,126,8.454582e-13
349,349,7.9618197e-13
72,72,7.7297646e-13
97,97,6.6157306e-13
369,369,6.281918e-13
276,276,6.2561376e-13
271,271,6.1261293e-13
33,33,5.99363e-13
497,497,5.918234e-13
144,144,5.4959645e-13
302,302,5.447466e-13
253,253,5.4262286e-13
419,419,5.305708e-13
120,120,5.1934195e-13
10,10,4.750675e-13
222,222,4.722785e-13
409,409,4.4899466e-13
99,99,4.2405651e-13
340,340,4.1912808e-13
143,143,3.989193e-13
210,210,3.6931883e-13
498,498,3.2652006e-13
315,315,3.1945545e-13
40,40,3.1436662e-13
280,280,3.0746765e-13
287,287,2.8263722e-13
257,257,2.8164973e-13
255,255,2.7508649e-13
123,123,2.664257e-13
294,294,2.3816105e-13
389,389,2.341818e-13
432,432,2.1793032e-13
488,488,1.9342721e-13
368,368,1.9225316e-13
134,134,1.7113967e-13
61,61,1.4502483e-13
224,224,1.3926193e-13
201,201,1.3454395e-13
296,296,1.2422864e-13
425,425,1.2197254e-13
187,187,1.1987351e-13
238,238,1.0753492e-13
96,96,9.6024635e-14
442,442,9.104081e-14
486,486,8.195224e-14
359,359,7.430576e-14
264,264,7.20438e-14
461,461,6.98098e-14
69,69,6.9246976e-14
241,241,6.504768e-14
449,449,6.465692e-14
39,39,6.4445147e-14
301,301,6.34821e-14
121,121,6.1388286e-14
36,36,6.0794035e-14
407,407,5.9546796e-14
406,406,5.531296e-14
203,203,4.9510868e-14
220,220,4.8918555e-14
195,195,4.3454908e-14
470,470,3.95934e-14
66,66,3.861931e-14
63,63,3.8393544e-14
437,437,3.606423e-14
499,499,2.827293e-14
178,178,2.792622e-14
430,430,2.5677524e-14
457,457,2.4435906e-14
136,136,2.3855875e-14
279,279,2.3457864e-14
161,161,2.2330135e-14
414,414,2.2011464e-14
229,229,1.952158e-14
46,46,1.8812182e-14
130,130,1.7807482e-14
350,350,1.717252e-14
219,219,1.576804e-14
474,474,1.5519141e-14
90,90,1.5385598e-14
77,77,1.521871e-14
324,324,1.4965488e-14
245,245,1.4441803e-14
455,455,1.31743405e-14
447,447,1.2603383e-14
76,76,1.2594635e-14
284,284,1.2513677e-14
427,427,1.243018e-14
43,43,1.2405807e-14
191,191,1.2398474e-14
292,292,1.23596346e-14
344,344,1.23203754e-14
450,450,1.2308866e-14
298,298,1.2301825e-14
132,132,1.2299104e-14
493,493,1.2295984e-14
0,0,1.2295256e-14
400,400,1.2289184e-14
310,310,1.2286864e-14
54,54,1.2285856e-14
454,454,1.2284473e-14
336,336,1.2283373e-14
58,58,1.22832085e-14
265,265,1.2283161e-14
62,62,1.2282341e-14
117,117,1.2279812e-14
421,421,1.22795315e-14
230,230,1.22793435e-14
268,268,1.227932e-14
172,172,1.2278782e-14
199,199,1.2274005e-14
249,249,1.2273794e-14
411,411,1.2273279e-14
244,244,1.2273139e-14
231,231,1.2272693e-14
295,295,1.2272459e-14
22,22,1.2271476e-14
328,328,1.22709375e-14
234,234,1.2270868e-14
436,436,1.2270704e-14
323,323,1.226951e-14
465,465,1.2269417e-14
305,305,1.22682465e-14
114,114,1.2267872e-14
4,4,1.2267123e-14
196,196,1.2266609e-14
471,471,1.2266071e-14
358,358,1.2266e-14
24,24,1.2265603e-14
11,11,1.22654386e-14
175,175,1.2265345e-14
297,297,1.2264597e-14
122,122,1.226441e-14
1,1,1.2262656e-14
28,28,1.2260878e-14
269,269,1.2260808e-14
278,278,1.22603394e-14
111,111,1.22598016e-14
236,236,1.2259032e-14
64,64,1.225875e-14
98,98,1.2258517e-14
413,413,1.2258025e-14
70,70,1.2257441e-14
438,438,1.2257324e-14
145,145,1.2256787e-14
180,180,1.2256599e-14
82,82,1.2256179e-14
137,137,1.22556875e-14
435,435,1.2255033e-14
252,252,1.22549625e-14
160,160,1.2254869e-14
186,186,1.22548e-14
479,479,1.22543314e-14
334,334,1.2254238e-14
194,194,1.22531405e-14
124,124,1.225148e-14
495,495,1.2250873e-14
202,202,1.22507095e-14
363,363,1.2250218e-14
428,428,1.2249985e-14
331,331,1.22497515e-14
403,403,1.2249377e-14
131,131,1.2247018e-14
179,179,1.2246995e-14
157,157,1.22464345e-14
392,392,1.2246294e-14
281,281,1.2246224e-14
89,89,1.2246085e-14
410,410,1.2245851e-14
2,2,1.2245687e-14
418,418,1.2245664e-14
103,103,1.2245314e-14
17,17,1.22443085e-14
146,146,1.2244285e-14
25,25,1.2243725e-14
277,277,1.2243188e-14
316,316,1.2243095e-14
362,362,1.2242884e-14
433,433,1.224202e-14
472,472,1.2240994e-14
283,283,1.22405265e-14
110,110,1.2240363e-14
53,53,1.224027e-14
445,445,1.2239383e-14
150,150,1.2237048e-14
112,112,1.2236909e-14
380,380,1.2236721e-14
149,149,1.2235344e-14
453,453,1.2234807e-14
9,9,1.2234294e-14
138,138,1.22331285e-14
208,208,1.2232427e-14
391,391,1.2231775e-14
174,174,1.2229209e-14
151,151,1.2226712e-14
289,289,1.222564e-14
452,452,1.2225523e-14
227,227,1.222487e-14
214,214,1.2223284e-14
68,68,1.2222562e-14
365,365,1.2222165e-14
55,55,1.2219952e-14
412,412,1.2214824e-14
19,19,1.2212565e-14
397,397,1.2212006e-14
50,50,1.221189e-14
313,313,1.22097e-14
496,496,1.2201994e-14
71,71,1.2183506e-14
8,8,1.21798815e-14
343,343,1.21635846e-14
153,153,1.2122843e-14
360,360,1.2080211e-14
266,266,1.206078e-14
439,439,1.1975896e-14
26,26,1.19653475e-14
197,197,1.1658336e-14
139,139,1.0262535e-14
308,308,9.515728e-15
491,491,8.730291e-15
492,492,8.704785e-15
51,51,8.183442e-15
270,270,7.9285486e-15
192,192,7.163175e-15
353,353,6.8296237e-15
173,173,5.851901e-15
85,85,5.696533e-15
312,312,5.5263055e-15
272,272,5.4015435e-15
165,165,4.4351276e-15
91,91,3.861988e-15
148,148,3.4113405e-15
34,34,2.8031713e-15
116,116,2.7919548e-15
223,223,2.7110668e-15
393,393,2.7076458e-15
83,83,2.6040366e-15
282,282,2.6002546e-15
489,489,2.4714128e-15
75,75,2.392426e-15
81,81,2.1898093e-15
60,60,2.1755798e-15
128,128,2.1623498e-15
348,348,2.034426e-15
420,420,1.6448785e-15
398,398,1.5164086e-15
415,415,1.4735429e-15
59,59,1.4171249e-15
366,366,1.3618794e-15
485,485,1.330428e-15
490,490,1.2180641e-15
387,387,1.2004981e-15
285,285,1.1867517e-15
87,87,1.0530856e-15
256,256,1.0052754e-15
79,79,9.955516e-16
243,243,9.737443e-16
237,237,9.205521e-16
41,41,9.025507e-16
188,188,8.785946e-16
