Gene_set,Term,Overlap,P-value,Odds Ratio,Combined Score,Genes,Adjusted P-value
GO_Biological_Process_2021,mRNA catabolic process (GO:0006402),7/44,2.7038038015684497e-05,9.273114992816328,97.53708891876185,AGO1;AGO3;AGO4;EXOSC10;MRTO4;THRAP3;YTHDF2,0.06232267762615277
GO_Biological_Process_2021,regulation of cell morphogenesis (GO:0022604),6/32,3.907580088120716e-05,11.289230492769239,114.5857706242231,CAPZB;MACF1;MFSD2A;PDPN;ZMYM4;ZMYM6,0.0900697210311825
GO_Biological_Process_2021,production of small RNA involved in gene silencing by RNA (GO:0070918),5/20,4.0547244641152717e-05,16.275145072107772,164.59123754059897,AGO1;AGO3;AGO4;PUM1;SNIP1,0.09346139889785701
GO_Biological_Process_2021,mRNA cleavage involved in gene silencing by miRNA (GO:0035279),3/5,8.055924493825928e-05,72.92307515079219,687.4106573528857,AGO1;AGO3;AGO4,0.18568905958268764
GO_Biological_Process_2021,"RNA splicing, via transesterification reactions (GO:0000375)",5/25,0.00012780469720341934,12.203241597176019,109.40214954299327,SF3A3;SNRNP40;SRRM1;SRSF10;SRSF4,0.2945898270538816
GO_Biological_Process_2021,mRNA metabolic process (GO:0016071),9/95,0.00013501479742124335,5.142405121771764,45.819478477939825,AGO3;AGO4;AURKAIP1;HNRNPR;LSM10;SF3A3;SFPQ;SRSF4;YTHDF2,0.3112091080559659
GO_Biological_Process_2021,cell junction disassembly (GO:0150146),3/6,0.00015868801957796968,48.61290204434487,425.293397063444,C1QA;C1QB;C1QC,0.3657758851272201
GO_Biological_Process_2021,production of miRNAs involved in gene silencing by miRNA (GO:0035196),5/29,0.00026722293280880075,10.167289859710145,83.65063809372859,AGO1;AGO3;AGO4;PUM1;SNIP1,0.6159488601242857
GO_Biological_Process_2021,miRNA loading onto RISC involved in gene silencing by miRNA (GO:0035280),3/7,0.00027351903067879236,36.45781549112121,299.1049989231875,AGO1;AGO3;AGO4,0.6304613657146164
GO_Biological_Process_2021,RNA secondary structure unwinding (GO:0010501),3/8,0.0004310419292158387,29.164763559187012,226.0066535859393,AGO1;AGO3;AGO4,0.9935516468425083
GO_Biological_Process_2021,gene silencing by miRNA (GO:0035195),5/32,0.0004310504902449836,9.036205561117992,70.02413517537614,AGO1;AGO3;AGO4;PUM1;SNIP1,0.9935713800146871
GO_Biological_Process_2021,carbohydrate derivative catabolic process (GO:1901136),4/19,0.0005092393734100047,12.987727710089693,98.48064504090482,FBXO2;FBXO44;FBXO6;FUCA1,1.0
GO_Biological_Process_2021,synapse pruning (GO:0098883),3/9,0.0006368386518677125,24.302728937897548,178.843641984617,C1QA;C1QB;C1QC,1.0
GO_Biological_Process_2021,small RNA loading onto RISC (GO:0070922),3/9,0.0006368386518677125,24.302728937897548,178.843641984617,AGO1;AGO3;AGO4,1.0
GO_Biological_Process_2021,"complement activation, classical pathway (GO:0006958)",3/9,0.0006368386518677125,24.302728937897548,178.843641984617,C1QA;C1QB;C1QC,1.0
GO_Biological_Process_2021,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",14/251,0.0006511626801544286,2.916967980138486,21.401067903528997,DNAJC8;HNRNPR;PPIE;PPIH;SF3A3;SFPQ;SNIP1;SNRNP40;SPEN;SRRM1;SRSF10;SRSF4;SYF2;YBX1,1.0
GO_Biological_Process_2021,cellular macromolecule catabolic process (GO:0044265),6/53,0.0006915583285744016,6.238404102550536,45.39414084360631,DFFB;FBXO2;FBXO44;FBXO6;PABPC4;PPP1R8,1.0
GO_Biological_Process_2021,membrane lipid catabolic process (GO:0046466),3/10,0.0008961004327387058,20.82984706554793,146.1725782028529,FUCA1;PPT1;SMPDL3B,1.0
GO_Biological_Process_2021,regulation of peptidase activity (GO:0052547),4/23,0.0010911115748800488,10.251374455647927,69.92009722120018,ATP13A2;HDAC1;PINK1;SVBP,1.0
GO_Biological_Process_2021,humoral immune response mediated by circulating immunoglobulin (GO:0002455),3/11,0.0012136442360103502,18.225185661285717,122.36622352803244,C1QA;C1QB;C1QC,1.0
GO_Biological_Process_2021,coenzyme A biosynthetic process (GO:0015937),3/11,0.0012136442360103502,18.225185661285717,122.36622352803244,ACOT7;PANK4;PPCS,1.0
GO_Biological_Process_2021,"negative regulation of translation, ncRNA-mediated (GO:0040033)",3/11,0.0012136442360103502,18.225185661285717,122.36622352803244,AGO1;AGO3;AGO4,1.0
GO_Biological_Process_2021,ribonucleoside bisphosphate biosynthetic process (GO:0034030),3/11,0.0012136442360103502,18.225185661285717,122.36622352803244,ACOT7;PANK4;PPCS,1.0
GO_Biological_Process_2021,miRNA mediated inhibition of translation (GO:0035278),3/11,0.0012136442360103502,18.225185661285717,122.36622352803244,AGO1;AGO3;AGO4,1.0
GO_Biological_Process_2021,purine nucleoside bisphosphate biosynthetic process (GO:0034033),3/11,0.0012136442360103502,18.225185661285717,122.36622352803244,ACOT7;PANK4;PPCS,1.0
GO_Biological_Process_2021,mRNA processing (GO:0006397),15/300,0.001288667344798666,2.599138446111683,17.295048411724295,AURKAIP1;DNAJC8;HNRNPR;PPIE;PPIH;SF3A3;SFPQ;SNIP1;SNRNP40;SPEN;SRRM1;SRSF10;SRSF4;SYF2;YBX1,1.0
GO_Biological_Process_2021,"mRNA splicing, via spliceosome (GO:0000398)",14/274,0.0015099397077598337,2.655769164393644,17.2510414054385,DNAJC8;HNRNPR;PPIE;PPIH;SF3A3;SFPQ;SNIP1;SNRNP40;SPEN;SRRM1;SRSF10;SRSF4;SYF2;YBX1,1.0
GO_Biological_Process_2021,RNA metabolic process (GO:0016070),9/133,0.0015951941979782263,3.559559512394292,22.92626779867719,AGO1;AGO3;AGO4;HNRNPR;NOL9;PABPC4;PPP1R8;SNRNP40;ZC3H12A,1.0
GO_Biological_Process_2021,regulation of cell growth (GO:0001558),12/217,0.0016686130648177861,2.8806239224306176,18.423786453111816,ATAD3A;CDK11A;CDK11B;ENO1;MAD2L2;MFSD2A;MTOR;MUL1;PPT1;PTCH2;SESN2;SLC25A33,1.0
GO_Biological_Process_2021,protein catabolic process (GO:0030163),6/64,0.0018737839826297696,5.052413669379313,31.72812398118369,DDI2;FBXO2;FBXO44;FBXO6;MTOR;PPT1,1.0
GO_Biological_Process_2021,regulation of lamellipodium organization (GO:1902743),3/14,0.0025588528729155796,13.252650253148765,79.09441711180325,CAPZB;EPHA2;PDPN,1.0
GO_Biological_Process_2021,pre-miRNA processing (GO:0031054),3/14,0.0025588528729155796,13.252650253148765,79.09441711180325,AGO1;AGO3;AGO4,1.0
GO_Biological_Process_2021,coenzyme A metabolic process (GO:0015936),3/14,0.0025588528729155796,13.252650253148765,79.09441711180325,ACOT7;PANK4;PPCS,1.0
GO_Biological_Process_2021,RNA catabolic process (GO:0006401),5/49,0.0030796131936808775,5.540126820014974,32.03828346494766,AGO3;AGO4;PABPC4;PPP1R8;YTHDF2,1.0
GO_Biological_Process_2021,regulation of neuron projection arborization (GO:0150011),3/15,0.00315075318202088,12.147642384673887,69.97180192180632,DVL1;MACF1;MFSD2A,1.0
GO_Biological_Process_2021,aminoglycan catabolic process (GO:0006026),4/31,0.0034121484173209376,7.21098195071263,40.961356709281596,AGRN;FUCA1;HSPG2;SDC3,1.0
GO_Biological_Process_2021,RNA processing (GO:0006396),10/179,0.0036842504018556373,2.902546099974555,16.264963309475533,AURKAIP1;HNRNPR;NOL9;PABPC4;RRAGC;SF3A3;SFPQ;SNRNP40;SRRM1;SRSF4,1.0
GO_Biological_Process_2021,negative regulation of type I interferon-mediated signaling pathway (GO:0060339),3/16,0.0038199430659472825,11.212635726733605,62.42657097785937,ISG15;MUL1;YTHDF2,1.0
GO_Biological_Process_2021,RNA splicing (GO:0008380),7/98,0.0038328883946820384,3.7599767729329128,20.921024414913056,RRAGC;SF3A3;SFPQ;SNRNP40;SRRM1;SRSF10;SRSF4,1.0
GO_Biological_Process_2021,positive regulation of bicellular tight junction assembly (GO:1903348),2/5,0.003947353425435809,32.32838205457801,178.92821761502512,EPHA2;NPHP4,1.0
GO_Biological_Process_2021,regulation of antifungal innate immune response (GO:1905034),2/5,0.003947353425435809,32.32838205457801,178.92821761502512,PLA2G5;TRIM62,1.0
GO_Biological_Process_2021,regulation of stem cell proliferation (GO:0072091),3/17,0.0045693086794188036,10.41120144849908,56.099648746062805,AGO3;KDF1;KDM1A,1.0
GO_Biological_Process_2021,RNA interference (GO:0016246),3/17,0.0045693086794188036,10.41120144849908,56.099648746062805,AGO1;AGO3;AGO4,1.0
GO_Biological_Process_2021,regulation of signal transduction by p53 class mediator (GO:1901796),9/156,0.0046622822431770655,2.9990746188481694,16.099782919384197,HDAC1;MEAF6;MTOR;NOC2L;PLK3;RBBP4;RPA2;TAF12;TP73,1.0
GO_Biological_Process_2021,glycosaminoglycan metabolic process (GO:0030203),5/54,0.004703573958055318,4.973535427399239,26.65532811887338,AGRN;B3GALT6;FUCA1;HSPG2;SDC3,1.0
GO_Biological_Process_2021,regulation of megakaryocyte differentiation (GO:0045652),5/54,0.004703573958055318,4.973535427399239,26.65532811887338,AGO1;AGO3;AGO4;HDAC1;PITHD1,1.0
GO_Biological_Process_2021,neural tube closure (GO:0001843),4/34,0.004794800631673046,6.488888730790497,34.652113817226834,DVL1;MTHFR;PHACTR4;SKI,1.0
GO_Biological_Process_2021,regulation of lamellipodium assembly (GO:0010591),4/34,0.004794800631673046,6.488888730790497,34.652113817226834,AKIRIN1;CAPZB;EPHA2;WASF2,1.0
GO_Biological_Process_2021,glycoprotein catabolic process (GO:0006516),3/18,0.005401462136858055,9.716625074029155,50.731331215526644,FBXO2;FBXO44;FBXO6,1.0
GO_Biological_Process_2021,glycosaminoglycan catabolic process (GO:0006027),5/56,0.005497377943126229,4.778005848771064,24.862277167705916,AGRN;FUCA1;HSPG2;SDC3;SLC9A1,1.0
GO_Biological_Process_2021,transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185),2/6,0.005841686128364726,24.24504891720176,124.68588111690661,PTPRF;PTPRU,1.0
GO_Biological_Process_2021,positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization (GO:1904925),2/6,0.005841686128364726,24.24504891720176,124.68588111690661,ATP5IF1;PINK1,1.0
GO_Biological_Process_2021,hexose import across plasma membrane (GO:0140271),2/6,0.005841686128364726,24.24504891720176,124.68588111690661,SLC2A1;SLC2A5,1.0
GO_Biological_Process_2021,regulation of protein targeting (GO:1903533),2/6,0.005841686128364726,24.24504891720176,124.68588111690661,ATP5IF1;PINK1,1.0
GO_Biological_Process_2021,regulation of mRNA processing (GO:0050684),4/36,0.005899829790465499,6.082711294584296,31.221533826565892,CDK11A;CDK11B;KHDRBS1;SRSF10,1.0
GO_Biological_Process_2021,"Wnt signaling pathway, calcium modulating pathway (GO:0007223)",4/36,0.005899829790465499,6.082711294584296,31.221533826565892,AGO1;AGO3;AGO4;GNB1,1.0
GO_Biological_Process_2021,positive regulation of cell junction assembly (GO:1901890),5/57,0.005927773237980144,4.6858813357635585,24.029699212903267,CLSTN1;COL16A1;EPHA2;EPHB2;NPHP4,1.0
GO_Biological_Process_2021,positive regulation of proteolysis (GO:0045862),5/57,0.005927773237980144,4.6858813357635585,24.029699212903267,ATP5IF1;AURKAIP1;PINK1;TNFRSF1B;ZC3H12A,1.0
GO_Biological_Process_2021,regulation of transport (GO:0051049),4/37,0.006510883879828644,5.898085187217842,29.692612646338617,EPB41;MUL1;PINK1;YRDC,1.0
GO_Biological_Process_2021,negative regulation of autophagy (GO:0010507),5/59,0.00685871639125141,4.51186836674938,22.479188355638772,CPTP;EIF4G3;KDM4A;MTOR;PINK1,1.0
GO_Biological_Process_2021,positive regulation of production of molecular mediator of immune response (GO:0002702),4/38,0.007162463824130312,5.724319439108238,28.271848419965686,EPHB2;LAPTM5;TNFRSF14;VAMP3,1.0
GO_Biological_Process_2021,positive regulation of signaling (GO:0023056),4/38,0.007162463824130312,5.724319439108238,28.271848419965686,CLSTN1;ECE1;RIMS3;VAMP3,1.0
GO_Biological_Process_2021,post-transcriptional gene silencing by RNA (GO:0035194),3/20,0.007323284757840273,8.572616927843399,42.14895405261704,AGO1;AGO3;AGO4,1.0
GO_Biological_Process_2021,glucose transmembrane transport (GO:1904659),3/20,0.007323284757840273,8.572616927843399,42.14895405261704,SLC2A1;SLC2A5;SLC45A1,1.0
GO_Biological_Process_2021,regulation of cellular component organization (GO:0051128),8/139,0.0075575669866494695,2.9863822196447756,14.589092241393558,ANGPTL7;ATAD3A;CDK11A;CDK11B;MAD2L2;MTOR;PINK1;PTCH2,1.0
