Gene_set,Term,Overlap,P-value,Odds Ratio,Combined Score,Genes,Adjusted P-value
Reactome_2022,PTEN Regulation R-HSA-6807070,12/139,2.728398370325133e-05,4.668531799651557,49.06258436756605,AGO1;AGO3;AGO4;HDAC1;KDM1A;MTOR;OTUD3;PHC2;PSMB2;RBBP4;RRAGC;SCMH1,0.022018174848523822
Reactome_2022,Classical Antibody-Mediated Complement Activation R-HSA-173623,3/6,0.00015868801957796968,48.61290204434487,425.293397063444,C1QA;C1QB;C1QC,0.12806123179942153
Reactome_2022,Regulation Of PTEN Gene Transcription R-HSA-8943724,7/61,0.0002289637622406266,6.34827794680822,53.21092808789737,HDAC1;KDM1A;MTOR;PHC2;RBBP4;RRAGC;SCMH1,0.18477375612818567
Reactome_2022,Post-transcriptional Silencing By Small RNAs R-HSA-426496,3/7,0.00027351903067879236,36.45781549112121,299.1049989231875,AGO1;AGO3;AGO4,0.22072985775778545
Reactome_2022,Metabolism Of Vitamins And Cofactors R-HSA-196854,12/186,0.00043533261743593026,3.399264750062421,26.30827022283849,AGRN;HSPG2;LDLRAP1;MMACHC;MTHFR;NADK;NMNAT1;PANK4;PPCS;SDC3;SLC2A1;UBIAD1,0.3513134222707957
Reactome_2022,Defective B3GALT6 Causes EDSP2 And SEMDJL1 R-HSA-4420332,4/20,0.0006264124056022181,12.175372837677294,89.79948195301431,AGRN;B3GALT6;HSPG2;SDC3,0.50551481132099
Reactome_2022,Small Interfering RNA (siRNA) Biogenesis R-HSA-426486,3/9,0.0006368386518677125,24.302728937897548,178.843641984617,AGO1;AGO3;AGO4,0.513928792057244
Reactome_2022,NR1H3 And NR1H2 Regulate Gene Expression Linked To Cholesterol Transport And Efflux R-HSA-9029569,5/36,0.0007550367386109594,7.868634672248673,56.565601464569845,AGO1;AGO3;AGO4;KDM1A;KDM4A,0.6093146480590442
Reactome_2022,Competing Endogenous RNAs (ceRNAs) Regulate PTEN Translation R-HSA-8948700,3/10,0.0008961004327387058,20.82984706554793,146.1725782028529,AGO1;AGO3;AGO4,0.7231530492201356
Reactome_2022,Regulation Of PTEN mRNA Translation R-HSA-8943723,3/11,0.0012136442360103502,18.225185661285717,122.36622352803244,AGO1;AGO3;AGO4,0.9794108984603526
Reactome_2022,mRNA Splicing - Major Pathway R-HSA-72163,11/181,0.0012173738599418392,3.18189120924475,21.353860636482132,DNAJC8;HNRNPR;PPIE;PPIH;SF3A3;SNRNP40;SRRM1;SRSF10;SRSF4;SYF2;YBX1,0.9824207049730642
Reactome_2022,PIP3 Activates AKT Signaling R-HSA-1257604,14/268,0.0012254666990701303,2.7193475135872704,18.231684646297463,AGO1;AGO3;AGO4;CASP9;CLSTN1;HDAC1;KDM1A;MTOR;OTUD3;PHC2;PSMB2;RBBP4;RRAGC;SCMH1,0.9889516261495951
Reactome_2022,Diseases Associated With Glycosaminoglycan Metabolism R-HSA-3560782,5/40,0.0012332223958511279,6.967937129406628,46.67211180396604,AGRN;B3GALT6;HSPG2;SDC3;ST3GAL3,0.9952104734518602
Reactome_2022,TP53 Regulates Metabolic Genes R-HSA-5628897,7/81,0.0012908089776467655,4.627785566803451,30.786279354579523,AGO1;AGO3;AGO4;MTOR;PRDX1;RRAGC;SESN2,1.0
Reactome_2022,mRNA Splicing R-HSA-72172,11/189,0.0017204695544886235,3.037633262736635,19.33501575030314,DNAJC8;HNRNPR;PPIE;PPIH;SF3A3;SNRNP40;SRRM1;SRSF10;SRSF4;SYF2;YBX1,1.0
Reactome_2022,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475,4/26,0.0017558185009506379,8.852102905081114,56.16500086856025,AGRN;B3GALT6;HSPG2;SDC3,1.0
Reactome_2022,"Defective EXT1 Causes Exostoses 1, TRPS2 And CHDS R-HSA-3656253",3/13,0.002041069099331557,14.578659695318619,90.30432263013492,AGRN;HSPG2;SDC3,1.0
Reactome_2022,NR1H2 And NR1H3-mediated Signaling R-HSA-9024446,5/46,0.002326180048791467,5.946414306427234,36.056248581226505,AGO1;AGO3;AGO4;KDM1A;KDM4A,1.0
Reactome_2022,Transcriptional Regulation By TP53 R-HSA-3700989,16/354,0.0025250815822181814,2.337247703384181,13.980204849939373,AGO1;AGO3;AGO4;ARTN;ELOA;HDAC1;MEAF6;MTOR;NOC2L;PLK3;PRDX1;RBBP4;RRAGC;SESN2;TAF12;TP73,1.0
Reactome_2022,Creation Of C4 And C2 Activators R-HSA-166786,3/14,0.0025588528729155796,13.252650253148765,79.09441711180325,C1QA;C1QB;C1QC,1.0
Reactome_2022,TNFs Bind Their Physiological Receptors R-HSA-5669034,4/29,0.002659025246748158,7.788656526650335,46.185141761940976,TNFRSF14;TNFRSF18;TNFRSF1B;TNFRSF25,1.0
Reactome_2022,Regulation Of MECP2 Expression And Activity R-HSA-9022692,4/31,0.0034121484173209376,7.21098195071263,40.961356709281596,AGO1;AGO3;AGO4;HDAC1,1.0
Reactome_2022,Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849,8/122,0.003471942152526598,3.4347173623473113,19.450945739133342,LDLRAP1;MMACHC;MTHFR;NADK;NMNAT1;PANK4;PPCS;SLC2A1,1.0
Reactome_2022,Intracellular Signaling By Second Messengers R-HSA-9006925,14/306,0.004115178429316044,2.3608120740707013,12.968113263019745,AGO1;AGO3;AGO4;CASP9;CLSTN1;HDAC1;KDM1A;MTOR;OTUD3;PHC2;PSMB2;RBBP4;RRAGC;SCMH1,1.0
Reactome_2022,Regulation Of RUNX1 Expression And Activity R-HSA-8934593,3/17,0.0045693086794188036,10.41120144849908,56.099648746062805,AGO1;AGO3;AGO4,1.0
Reactome_2022,Regulation Of TP53 Activity R-HSA-5633007,9/157,0.0048598018332491,2.9786574253112366,15.86658612856869,ARTN;HDAC1;MEAF6;MTOR;NOC2L;PLK3;RBBP4;TAF12;TP73,1.0
Reactome_2022,Amino Acids Regulate mTORC1 R-HSA-9639288,5/55,0.005089524751675273,4.87381534229887,25.736527087390474,ATP6V0B;MTOR;RRAGC;SESN2;SZT2,1.0
Reactome_2022,Defective B3GAT3 Causes JDSSDHD R-HSA-3560801,3/20,0.007323284757840273,8.572616927843399,42.14895405261704,AGRN;HSPG2;SDC3,1.0
Reactome_2022,"Defective B4GALT7 Causes EDS, Progeroid Type R-HSA-3560783",3/20,0.007323284757840273,8.572616927843399,42.14895405261704,AGRN;HSPG2;SDC3,1.0
Reactome_2022,HS-GAG Degradation R-HSA-2024096,3/21,0.008416917307387863,8.095946866932668,38.678480339159734,AGRN;HSPG2;SDC3,1.0
Reactome_2022,Initial Triggering Of Complement R-HSA-166663,3/21,0.008416917307387863,8.095946866932668,38.678480339159734,C1QA;C1QB;C1QC,1.0
Reactome_2022,Transcriptional Regulation By RUNX1 R-HSA-8878171,10/204,0.009040320568936507,2.5252524627852004,11.883991231381371,AGO1;AGO3;AGO4;ARID1A;HDAC1;PHC2;PSMB2;SCMH1;TNFRSF18;TP73,1.0
Reactome_2022,Coenzyme A Biosynthesis R-HSA-196783,2/8,0.01061492331351352,16.161715779825517,73.46298870417887,PANK4;PPCS,1.0
Reactome_2022,Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203,11/242,0.010847142179474455,2.334297711850209,10.560021170920345,DNAJC8;HNRNPR;PPIE;PPIH;SF3A3;SNRNP40;SRRM1;SRSF10;SRSF4;SYF2;YBX1,1.0
Reactome_2022,RNA Polymerase II Transcription R-HSA-73857,39/1312,0.010959956381255291,1.5293937188876028,6.902929221211331,AGO1;AGO3;AGO4;ARID1A;ARTN;CITED4;DMAP1;ELOA;HDAC1;HIVEP3;INTS11;LSM10;MEAF6;MED8;MTOR;NFYC;NOC2L;PHC2;PINK1;PLK3;PRDX1;PSMB2;RBBP4;RRAGC;SCMH1;SESN2;SKI;SRRM1;SRSF4;SSU72;TAF12;TFAP2E;TNFRSF18;TP73;YBX1;ZFP69;ZNF436;ZNF684;ZNF691,1.0
Reactome_2022,Glycosaminoglycan Metabolism R-HSA-1630316,7/120,0.011315330292749762,3.024530278179537,13.554725245301874,AGRN;B3GALT6;B4GALT2;HSPG2;SDC3;SLC9A1;ST3GAL3,1.0
Reactome_2022,Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,5/67,0.011606861631989186,3.928082922314721,17.504161421830084,COL16A1;COL8A2;COL9A2;P3H1;PLOD1,1.0
Reactome_2022,Oxidative Stress Induced Senescence R-HSA-2559580,6/93,0.011691937144907308,3.3632757797112087,14.962728985308498,AGO1;AGO3;AGO4;PHC2;RBBP4;SCMH1,1.0
Reactome_2022,Other Interleukin Signaling R-HSA-449836,3/24,0.012247709569380873,6.938319576149462,30.545371428397793,CSF3R;IFNLR1;TXLNA,1.0
Reactome_2022,MicroRNA (miRNA) Biogenesis R-HSA-203927,3/24,0.012247709569380873,6.938319576149462,30.545371428397793,AGO1;AGO3;AGO4,1.0
Reactome_2022,Metabolism Of Fat-Soluble Vitamins R-HSA-6806667,4/47,0.015014874096929254,4.524123457979111,18.99550033215307,AGRN;HSPG2;SDC3;UBIAD1,1.0
Reactome_2022,Ketone Body Metabolism R-HSA-74182,2/10,0.016608230698580723,12.120049211137395,49.66622706136711,HMGCL;OXCT2,1.0
Reactome_2022,Chondroitin Sulfate/Dermatan Sulfate Metabolism R-HSA-1793185,4/50,0.0184940688235345,4.228422998860341,16.87269829045062,AGRN;B3GALT6;HSPG2;SDC3,1.0
Reactome_2022,Regulation Of TP53 Activity Thru Acetylation R-HSA-6804758,3/29,0.02052700748819854,5.602595779091917,21.771764633546383,HDAC1;MEAF6;RBBP4,1.0
Reactome_2022,Heparan Sulfate/Heparin (HS-GAG) Metabolism R-HSA-1638091,4/53,0.022434766443644814,3.968930759225502,15.070599435758327,AGRN;B3GALT6;HSPG2;SDC3,1.0
Reactome_2022,HS-GAG Biosynthesis R-HSA-2022928,3/30,0.022472276330802003,5.394816521771855,20.47587986885073,AGRN;HSPG2;SDC3,1.0
Reactome_2022,Signaling By NOTCH R-HSA-157118,9/203,0.023229086184706402,2.267002462956909,8.529256876773982,AGO1;AGO3;AGO4;HDAC1;HEYL;MIB2;PSMB2;ST3GAL3;YBX1,1.0
Reactome_2022,Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168,12/307,0.023573030260400325,1.9924975844629798,7.467187569371066,FBXO2;FBXO44;FBXO6;HECTD3;KLHL21;MIB2;PSMB2;RNF19B;RNF220;SPSB1;UBE2J2;UBR4,1.0
Reactome_2022,Activation Of TFAP2 (AP-2) Family Of Transcription Factors R-HSA-8866907,2/12,0.02371631416956426,9.695049269924523,36.27491981629173,CITED4;TFAP2E,1.0
Reactome_2022,Diseases Of Glycosylation R-HSA-3781865,7/143,0.0269211986122786,2.510061857885815,9.073475144498477,AGRN;B3GALT6;DHDDS;GALE;HSPG2;SDC3;ST3GAL3,1.0
Reactome_2022,Apoptosis Induced DNA Fragmentation R-HSA-140342,2/13,0.02765726781869747,8.813231109483478,31.620698725293106,DFFA;DFFB,1.0
Reactome_2022,Oncogene Induced Senescence R-HSA-2559585,3/33,0.028888860859607582,4.854590452739692,17.206121036358436,AGO1;AGO3;AGO4,1.0
Reactome_2022,Metabolism Of Carbohydrates R-HSA-71387,11/285,0.03181503098309034,1.9635959967638084,6.770118536473394,AGRN;AKR1A1;B3GALT6;B4GALT2;ENO1;GALE;HSPG2;SDC3;SLC2A1;SLC9A1;ST3GAL3,1.0
Reactome_2022,Transcriptional Regulation By MECP2 R-HSA-8986944,4/60,0.03349197524108615,3.4715706332587266,11.791014042605129,AGO1;AGO3;AGO4;HDAC1,1.0
Reactome_2022,RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243,3/35,0.03364795266898174,4.5507132889091,15.435123288878323,ARID1A;PHC2;SCMH1,1.0
Reactome_2022,Ca2+ Pathway R-HSA-4086398,4/61,0.03528879231361478,3.4104913195435085,11.40533050089723,AGO1;AGO3;AGO4;GNB1,1.0
Reactome_2022,Diseases Associated With Glycosylation Precursor Biosynthesis R-HSA-5609975,2/15,0.03625411909852887,7.456587785728026,24.735009957849513,DHDDS;GALE,1.0
Reactome_2022,Collagen Formation R-HSA-1474290,5/90,0.03637279918585522,2.861815978214946,9.48386944023172,COL16A1;COL8A2;COL9A2;P3H1;PLOD1,1.0
Reactome_2022,Early SARS-CoV-2 Infection Events R-HSA-9772572,3/37,0.03878753506616667,4.282586379646814,13.916934002270452,AGRN;HSPG2;SDC3,1.0
Reactome_2022,NCAM1 Interactions R-HSA-419037,3/37,0.03878753506616667,4.282586379646814,13.916934002270452,AGRN;ARTN;COL9A2,1.0
Reactome_2022,Transcription Of E2F Targets Under Negative Control By P107 (RBL1) And P130 (RBL2) In Complex With HDAC1 R-HSA-1362300,2/16,0.040887572817469076,6.92362076568124,22.13432473915053,HDAC1;RBBP4,1.0
Reactome_2022,Gap Junction Assembly R-HSA-190861,2/16,0.040887572817469076,6.92362076568124,22.13432473915053,GJA4;GJB3,1.0
