Gene_set,Term,Overlap,P-value,Odds Ratio,Combined Score,Genes,Adjusted P-value
MSigDB_Hallmark_2020,Glycolysis,10/200,0.007921683798117508,2.5789473046252014,12.477337757346042,AGRN;AKR1A1;ARTN;B3GALT6;B4GALT2;ENO1;GALE;PLOD1;SDC3;STMN1,0.35647577091528787
MSigDB_Hallmark_2020,Protein Secretion,5/96,0.0459360469448431,2.672302694313791,8.232042168478987,KIF1B;PPT1;RER1;STX12;VAMP3,1.0
MSigDB_Hallmark_2020,Pperoxisome,5/104,0.06080846900826151,2.4553514602181936,6.875048435543375,CTPS1;DHRS3;HMGCL;PEX14;PRDX1,1.0
MSigDB_Hallmark_2020,TGF-beta Signaling,3/54,0.09669158228494422,2.8525761969146184,6.664271036562777,HDAC1;ID3;SKI,1.0
MSigDB_Hallmark_2020,Myc Targets V2,3/58,0.11356817193946636,2.6445747157899353,5.752880866839084,MAP3K6;MRTO4;SRM,1.0
MSigDB_Hallmark_2020,DNA Repair,5/150,0.19003933796650108,1.6724567482145967,2.777154880989311,AGO4;ELOA;RPA2;SF3A3;TAF12,1.0
MSigDB_Hallmark_2020,Hypoxia,6/200,0.22200140530720927,1.4999999632731968,2.2576072950993846,B3GALT6;ENO1;ERRFI1;SDC3;SLC2A1;SLC2A5,1.0
MSigDB_Hallmark_2020,heme Metabolism,6/200,0.22200140530720927,1.4999999632731968,2.2576072950993846,EPB41;ERMAP;RAP1GAP;SLC2A1;SLC6A9;UROD,1.0
MSigDB_Hallmark_2020,p53 Pathway,5/200,0.38303524283411555,1.240424549282846,1.190346471973577,EPHA2;FUCA1;PLK3;RNF19B;WRAP73,1.0
MSigDB_Hallmark_2020,Myc Targets V1,5/200,0.38303524283411555,1.240424549282846,1.190346471973577,CTPS1;HNRNPR;PABPC4;PSMB2;SRM,1.0
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,5/200,0.38303524283411555,1.240424549282846,1.190346471973577,COL16A1;COL8A2;FUCA1;P3H1;PLOD1,1.0
MSigDB_Hallmark_2020,KRAS Signaling Up,5/200,0.38303524283411555,1.240424549282846,1.190346471973577,EPHB2;FUCA1;LAPTM5;TNFRSF1B;YRDC,1.0
MSigDB_Hallmark_2020,Cholesterol Homeostasis,2/74,0.4449338635760446,1.3422716946357391,1.0870113885357986,ERRFI1;FBXO6,1.0
MSigDB_Hallmark_2020,Notch Signaling,1/32,0.4814912986137994,1.5581839527648724,1.1388254169310166,HEYL,1.0
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,2/87,0.5298702399191609,1.136225947996737,0.7216433836069509,CSF3R;TNFRSF1B,1.0
MSigDB_Hallmark_2020,Coagulation,3/138,0.5334904407126787,1.073007969514553,0.6741860650557234,C1QA;CASP9;PEF1,1.0
MSigDB_Hallmark_2020,UV Response Dn,3/144,0.5623184058851056,1.0270312827884112,0.5912485899404927,PEX14;PIK3CD;PRDM2,1.0
MSigDB_Hallmark_2020,Mitotic Spindle,4/199,0.5773073457062825,0.9898711329219454,0.5438158907654572,CAPZB;EPB41;KIF1B;WASF2,1.0
MSigDB_Hallmark_2020,Xenobiotic Metabolism,4/200,0.5812720824995923,0.9847700034248502,0.5342735049358824,EPHA2;PGD;PINK1;RAP1GAP,1.0
MSigDB_Hallmark_2020,G2-M Checkpoint,4/200,0.5812720824995923,0.9847700034248502,0.5342735049358824,RPA2;SFPQ;SRSF10;STMN1,1.0
MSigDB_Hallmark_2020,Apical Junction,4/200,0.5812720824995923,0.9847700034248502,0.5342735049358824,CAP1;COL16A1;LDLRAP1;SDC3,1.0
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,4/200,0.5812720824995923,0.9847700034248502,0.5342735049358824,RNF19B;SPSB1;YRDC;ZC3H12A,1.0
MSigDB_Hallmark_2020,Estrogen Response Early,4/200,0.5812720824995923,0.9847700034248502,0.5342735049358824,DHRS3;KAZN;NBL1;SLC2A1,1.0
MSigDB_Hallmark_2020,E2F Targets,4/200,0.5812720824995923,0.9847700034248502,0.5342735049358824,CTPS1;PPP1R8;RPA2;STMN1,1.0
MSigDB_Hallmark_2020,Inflammatory Response,4/200,0.5812720824995923,0.9847700034248502,0.5342735049358824,CSF3R;KIF1B;PDPN;TNFRSF1B,1.0
MSigDB_Hallmark_2020,mTORC1 Signaling,4/200,0.5812720824995923,0.9847700034248502,0.5342735049358824,ENO1;NFYC;PRDX1;SLC2A1,1.0
MSigDB_Hallmark_2020,Apical Surface,1/44,0.5947990231178454,1.1226528582979771,0.5832537555798458,CROCC,1.0
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,1/49,0.6343780203039258,1.0054526505855312,0.45759181289527556,PRDX1,1.0
