Biomarker_Name,Original_Index,Attention_Score,Ensembl ID,Gene Name
123,123,0.8194162,ENSG00000175279,CENPS
496,496,0.1731378,ENSG00000280670,CCDC163
160,160,0.0070969965,ENSG00000116138,DNAJC16
177,177,0.00027447328,ENSG00000055070,SZRD1
317,317,4.0213836e-05,ENSG00000159023,EPB41
207,207,1.9093348e-05,ENSG00000090432,MUL1
170,170,1.3979947e-05,ENSG00000173641,HSPB7
346,346,9.240281e-07,ENSG00000225828,FAM229A
277,277,5.9162815e-08,ENSG00000117676,RPS6KA1
448,448,4.349249e-08,ENSG00000066185,ZMYND12
93,93,3.3068854e-08,ENSG00000162413,KLHL21
191,191,2.7969998e-08,ENSG00000272084,AL137127.1
230,230,1.2615845e-08,ENSG00000261326,LINC01355
206,206,1.2576853e-08,ENSG00000162545,CAMK2N1
313,313,1.100489e-08,ENSG00000197989,SNHG12
40,40,4.4060995e-09,ENSG00000248333,CDK11B
417,417,3.7814454e-09,ENSG00000214114,MYCBP
62,62,3.4948977e-09,ENSG00000157881,PANK4
98,98,2.6722866e-09,ENSG00000171735,CAMTA1
67,67,2.4894962e-09,ENSG00000177133,PRDM16-DT
164,164,2.030318e-09,ENSG00000162458,FBLIM1
354,354,1.9331055e-09,ENSG00000134684,YARS
388,388,1.870263e-09,ENSG00000054118,THRAP3
65,65,1.5667879e-09,ENSG00000157873,TNFRSF14
324,324,1.1352225e-09,ENSG00000134644,PUM1
106,106,1.114506e-09,ENSG00000142599,RERE
57,57,1.0333953e-09,ENSG00000272161,AL589739.1
61,61,9.314695e-10,ENSG00000149527,PLCH2
246,246,9.2192126e-10,ENSG00000188529,SRSF10
216,216,6.43994e-10,ENSG00000162551,ALPL
142,142,6.281407e-10,ENSG00000177000,MTHFR
130,130,5.1805227e-10,ENSG00000116649,SRM
80,80,5.149747e-10,ENSG00000069424,KCNAB2
92,92,4.4044757e-10,ENSG00000204859,ZBTB48
309,309,3.0968025e-10,ENSG00000204138,PHACTR4
434,434,2.5626185e-10,ENSG00000049089,COL9A2
8,8,2.523471e-10,ENSG00000187608,ISG15
134,134,2.5006497e-10,ENSG00000171819,ANGPTL7
372,372,2.3230505e-10,ENSG00000197056,ZMYM1
328,328,1.6391531e-10,ENSG00000121769,FABP3
90,90,1.6336942e-10,ENSG00000171680,PLEKHG5
213,213,1.6149043e-10,ENSG00000075151,EIF4G3
338,338,1.450244e-10,ENSG00000250135,AL049795.2
50,50,1.3872944e-10,ENSG00000187730,GABRD
148,148,1.3071011e-10,ENSG00000028137,TNFRSF1B
275,275,1.0981689e-10,ENSG00000117682,DHDDS
267,267,1.0046044e-10,ENSG00000158008,EXTL1
117,117,8.534819e-11,ENSG00000173614,NMNAT1
261,261,7.9712736e-11,ENSG00000117643,MAN1C1
491,491,5.907635e-11,ENSG00000162415,ZSWIM5
362,362,4.860081e-11,ENSG00000116525,TRIM62
138,138,4.1900997e-11,ENSG00000132879,FBXO44
11,11,3.6474063e-11,ENSG00000186891,TNFRSF18
79,79,3.3672953e-11,ENSG00000131697,NPHP4
15,15,3.3171774e-11,ENSG00000160087,UBE2J2
280,280,3.03391e-11,ENSG00000204160,ZDHHC18
274,274,2.7684886e-11,ENSG00000158062,UBXN11
399,399,2.4899303e-11,ENSG00000163874,ZC3H12A
188,188,2.2857518e-11,ENSG00000117154,IGSF21
403,403,2.095756e-11,ENSG00000134697,GNL2
479,479,1.9469535e-11,ENSG00000178028,DMAP1
5,5,1.7829859e-11,ENSG00000188976,NOC2L
412,412,1.7177482e-11,ENSG00000183386,FHL3
235,235,1.3991641e-11,ENSG00000088280,ASAP3
256,256,1.1228756e-11,ENSG00000272432,AL031432.3
39,39,1.1205285e-11,ENSG00000189409,MMP23B
419,419,1.068857e-11,ENSG00000168653,NDUFS5
339,339,1.0536395e-11,ENSG00000084652,TXLNA
84,84,1.0279607e-11,ENSG00000158286,RNF207
360,360,8.975255e-12,ENSG00000004455,AK2
239,239,8.904627e-12,ENSG00000011007,ELOA
21,21,7.7224095e-12,ENSG00000107404,DVL1
45,45,6.51264e-12,ENSG00000078369,GNB1
374,374,6.3590942e-12,ENSG00000146463,ZMYM4
189,189,5.9826523e-12,ENSG00000159423,ALDH4A1
22,22,5.8269687e-12,ENSG00000162576,MXRA8
162,162,5.813181e-12,ENSG00000116786,PLEKHM2
126,126,4.5392422e-12,ENSG00000142655,PEX14
244,244,3.716811e-12,ENSG00000179163,FUCA1
334,334,3.5809257e-12,ENSG00000184007,PTP4A2
144,144,3.5341543e-12,ENSG00000116685,KIAA2013
226,226,3.511403e-12,ENSG00000173369,C1QB
20,20,3.229037e-12,ENSG00000224051,CPTP
391,391,3.1226898e-12,ENSG00000286379,AL591845.1
453,453,2.802505e-12,ENSG00000065978,YBX1
6,6,2.4331132e-12,ENSG00000187961,KLHL17
347,347,2.3811786e-12,ENSG00000160058,BSDC1
410,410,2.0079702e-12,ENSG00000204084,INPP5B
74,74,1.8400077e-12,ENSG00000130764,LRRC47
310,310,1.4958986e-12,ENSG00000180198,RCC1
289,289,1.4347225e-12,ENSG00000142765,SYTL1
344,344,1.403812e-12,ENSG00000116478,HDAC1
46,46,1.361439e-12,ENSG00000231050,AL109917.1
1,1,1.1609477e-12,ENSG00000237491,LINC01409
42,42,1.1149764e-12,ENSG00000008128,CDK11A
97,97,1.0269939e-12,ENSG00000237436,CAMTA1-DT
225,225,9.948596e-13,ENSG00000159189,C1QC
404,404,8.034612e-13,ENSG00000116922,C1orf109
300,300,7.9914965e-13,ENSG00000117748,RPA2
152,152,7.949932e-13,ENSG00000259961,AL354712.1
47,47,6.9789275e-13,ENSG00000178821,TMEM52
471,471,6.933486e-13,ENSG00000237950,AL357079.1
284,284,5.636325e-13,ENSG00000175707,KDF1
381,381,5.284143e-13,ENSG00000134698,AGO4
298,298,4.8412945e-13,ENSG00000117751,PPP1R8
456,456,4.0535956e-13,ENSG00000177868,SVBP
91,91,3.9883908e-13,ENSG00000162408,NOL9
209,209,3.4308908e-13,ENSG00000158828,PINK1
103,103,3.1633325e-13,ENSG00000116288,PARK7
329,329,2.5395024e-13,ENSG00000168528,SERINC2
489,489,2.4688788e-13,ENSG00000126107,HECTD3
473,473,2.448783e-13,ENSG00000132768,DPH2
433,433,2.3120668e-13,ENSG00000084073,ZMPSTE24
44,44,2.2467993e-13,ENSG00000008130,NADK
263,263,2.1227849e-13,ENSG00000117640,MTFR1L
107,107,2.0568654e-13,ENSG00000074800,ENO1
127,127,1.8546964e-13,ENSG00000175262,C1orf127
343,343,1.793031e-13,ENSG00000084623,EIF3I
