Cell Type,Cell Count,Percentage (%)
Regulatory T cells,2168,14.011503910036838
Tem Temra cytotoxic T cells,2030,13.119627738641505
Tem Trm cytotoxic T cells,1717,11.096749175983971
Tcm Naive helper T cells,1624,10.495702190913203
Tem Effector helper T cells,1352,8.737801331351386
Trm cytotoxic T cells,1047,6.766625735151555
NK cells,866,5.596846119046081
Type 1 helper T cells,824,5.325405545143153
CRTAM+ gamma-delta T cells,698,4.51108382343437
Type 17 helper T cells,324,2.0939701415368708
CD16- NK cells,272,1.7579008595618173
MAIT cells,262,1.6932721514896918
CD8a a,227,1.467071673237252
Tcm Naive cytotoxic T cells,218,1.408905835972339
Memory B cells,211,1.3636657403218508
ILC3,188,1.215019711755962
Naive B cells,184,1.189168228527112
gamma-delta T cells,173,1.1180766496477736
Double-positive thymocytes,139,0.8983390422025463
Follicular helper T cells,126,0.814321721708783
Alveolar macrophages,98,0.6333613391068312
Classical monocytes,89,0.5751955018419181
CD16+ NK cells,70,0.4524009565048795
Early lymphoid T lymphoid,65,0.4200866024688167
Plasma cells,46,0.297292057131778
T(agonist),38,0.24558909067407741
Myelocytes,35,0.22620047825243975
Proliferative germinal center B cells,30,0.1938861242163769
NKT cells,29,0.18742325340916435
Memory CD4+ cytotoxic T cells,26,0.16803464098752666
Age-associated B cells,25,0.1615717701803141
Double-negative thymocytes,23,0.148646028565889
Treg(diff),22,0.1421831577586764
Cycling T cells,21,0.13572028695146382
Plasmablasts,21,0.13572028695146382
pDC,19,0.12279454533703871
DC,17,0.10986880372261358
Epithelial cells,16,0.10340593291540102
Transitional NK,13,0.08401732049376333
B cells,13,0.08401732049376333
DC2,12,0.07755444968655077
CD8a b(entry),11,0.0710915788793382
Macrophages,8,0.05170296645770051
Kupffer cells,8,0.05170296645770051
ILC,7,0.04524009565048795
Late erythroid,7,0.04524009565048795
Intermediate macrophages,6,0.038777224843275386
Monocytes,6,0.038777224843275386
Neutrophil-myeloid progenitor,4,0.025851483228850256
Erythrophagocytic macrophages,4,0.025851483228850256
Cycling NK cells,4,0.025851483228850256
Mono-mac,4,0.025851483228850256
Mid erythroid,4,0.025851483228850256
Mast cells,3,0.019388612421637693
Transitional B cells,3,0.019388612421637693
DC3,2,0.012925741614425128
Non-classical monocytes,2,0.012925741614425128
DC precursor,2,0.012925741614425128
Germinal center B cells,1,0.006462870807212564
pDC precursor,1,0.006462870807212564
DC1,1,0.006462870807212564
Transitional DC,1,0.006462870807212564
MEMP,1,0.006462870807212564
HSC MPP,1,0.006462870807212564
Pro-B cells,1,0.006462870807212564
Migratory DCs,1,0.006462870807212564
Intestinal macrophages,1,0.006462870807212564
Early erythroid,1,0.006462870807212564
