cell_type,rank,gene_symbol,log2FC,p_val_adj
Age-associated B cells,1,MIR155HG,4.326241493225098,0.06336008053600199
Age-associated B cells,2,RPS17,1.9078840017318726,1.0
Age-associated B cells,3,HSP90AB1,1.426239252090454,1.0
Age-associated B cells,4,PABPC1,1.3183445930480957,1.0
Age-associated B cells,5,NME2,2.0320839881896973,1.0
Age-associated B cells,6,WARS,3.2315475940704346,1.0
Age-associated B cells,7,HLA-DPA1,2.3844168186187744,1.0
Age-associated B cells,8,HLA-DRA,7.692772388458252,1.0
Age-associated B cells,9,PPIA,1.0720863342285156,1.0
Age-associated B cells,10,SNHG15,2.636167287826538,1.0
Age-associated B cells,11,FTL,1.7681124210357666,1.0
Age-associated B cells,12,UQCRQ,1.7475157976150513,1.0
Age-associated B cells,13,HNRNPAB,1.8935178518295288,1.0
Age-associated B cells,14,RPL23,0.9108597040176392,1.0
Age-associated B cells,15,RPLP0,0.9080608487129211,1.0
Age-associated B cells,16,RPL4,1.1038248538970947,1.0
Age-associated B cells,17,GSPT1,2.013023853302002,1.0
Age-associated B cells,18,REL,2.0271668434143066,1.0
Age-associated B cells,19,PSMA2,1.775701880455017,1.0
Age-associated B cells,20,ZFP36L1,1.3492251634597778,1.0
Age-associated B cells,21,MEF2C,6.35835599899292,1.0
Age-associated B cells,22,TDG,2.5176804065704346,1.0
Age-associated B cells,23,DBI,1.258022665977478,1.0
Age-associated B cells,24,POLR2L,1.3810558319091797,1.0
Age-associated B cells,25,HINT1,0.9312523603439331,1.0
Age-associated B cells,26,RPL22L1,1.801241159439087,1.0
Age-associated B cells,27,RBM8A,1.4172468185424805,1.0
Age-associated B cells,28,CCDC50,2.882131814956665,1.0
Age-associated B cells,29,ITPA,2.323448419570923,1.0
Age-associated B cells,30,CD74,1.7111698389053345,1.0
Age-associated B cells,31,SRSF10,1.55276620388031,1.0
Age-associated B cells,32,LSM7,1.3720017671585083,1.0
Age-associated B cells,33,XRCC5,1.293365716934204,1.0
Age-associated B cells,34,RTF2,1.8278249502182007,1.0
Age-associated B cells,35,PPP6C,2.590163469314575,1.0
Age-associated B cells,36,FOXP1,1.471864938735962,1.0
Age-associated B cells,37,CCT3,1.6269294023513794,1.0
Age-associated B cells,38,ENO1,1.0502541065216064,1.0
Age-associated B cells,39,ZEB2,2.1399800777435303,1.0
Age-associated B cells,40,LARP1,1.807913064956665,1.0
Age-associated B cells,41,SERPINB1,1.5315132141113281,1.0
Age-associated B cells,42,EIF4A1,1.2577834129333496,1.0
Age-associated B cells,43,TUBA1B,1.267156720161438,1.0
Age-associated B cells,44,ARPC5L,1.3949229717254639,1.0
Age-associated B cells,45,DEK,1.0485420227050781,1.0
Age-associated B cells,46,MARCKS,8.332083702087402,1.0
Age-associated B cells,47,MRPL4,2.3658130168914795,1.0
Age-associated B cells,48,C19orf53,1.2002464532852173,1.0
Age-associated B cells,49,HLA-DRB5,6.392598628997803,1.0
Age-associated B cells,50,METAP2,1.7071775197982788,1.0
Alveolar macrophages,1,MALAT1,0.3045901954174042,0.020891743751912408
Alveolar macrophages,2,MT-CO2,0.19983232021331787,0.14907930105944536
Alveolar macrophages,3,CD44,0.8118751645088196,0.1854542472970316
Alveolar macrophages,4,MT-ND3,0.1839023381471634,0.346999140380601
Alveolar macrophages,5,MT-ATP6,0.1711779236793518,0.346999140380601
Alveolar macrophages,6,FTH1,0.28423935174942017,0.7484080254384401
Alveolar macrophages,7,RPS6,0.02857169508934021,1.0
Alveolar macrophages,8,MT-CO3,0.15605610609054565,1.0
Alveolar macrophages,9,TPT1,-0.018014291301369667,1.0
Alveolar macrophages,10,B2M,-0.019247040152549744,1.0
Alveolar macrophages,11,MT-CO1,0.07626541703939438,1.0
Alveolar macrophages,12,RPS20,0.17355898022651672,1.0
Alveolar macrophages,13,RPL38,0.10809696465730667,1.0
Alveolar macrophages,14,MYL6,0.16997821629047394,1.0
