Biomarker_Name,Original_Index,Attention_Score
123,123,0.8194162
496,496,0.1731378
160,160,0.0070969965
177,177,0.00027447328
317,317,4.0213836e-05
207,207,1.9093348e-05
170,170,1.3979947e-05
346,346,9.240281e-07
277,277,5.9162815e-08
448,448,4.349249e-08
93,93,3.3068854e-08
191,191,2.7969998e-08
230,230,1.2615845e-08
206,206,1.2576853e-08
313,313,1.100489e-08
40,40,4.4060995e-09
417,417,3.7814454e-09
62,62,3.4948977e-09
98,98,2.6722866e-09
67,67,2.4894962e-09
164,164,2.030318e-09
354,354,1.9331055e-09
388,388,1.870263e-09
65,65,1.5667879e-09
324,324,1.1352225e-09
106,106,1.114506e-09
57,57,1.0333953e-09
61,61,9.314695e-10
246,246,9.2192126e-10
216,216,6.43994e-10
142,142,6.281407e-10
130,130,5.1805227e-10
80,80,5.149747e-10
92,92,4.4044757e-10
309,309,3.0968025e-10
434,434,2.5626185e-10
8,8,2.523471e-10
134,134,2.5006497e-10
372,372,2.3230505e-10
328,328,1.6391531e-10
90,90,1.6336942e-10
213,213,1.6149043e-10
338,338,1.450244e-10
50,50,1.3872944e-10
148,148,1.3071011e-10
275,275,1.0981689e-10
267,267,1.0046044e-10
117,117,8.534819e-11
261,261,7.9712736e-11
491,491,5.907635e-11
362,362,4.860081e-11
138,138,4.1900997e-11
11,11,3.6474063e-11
79,79,3.3672953e-11
15,15,3.3171774e-11
280,280,3.03391e-11
274,274,2.7684886e-11
399,399,2.4899303e-11
188,188,2.2857518e-11
403,403,2.095756e-11
479,479,1.9469535e-11
5,5,1.7829859e-11
412,412,1.7177482e-11
235,235,1.3991641e-11
256,256,1.1228756e-11
39,39,1.1205285e-11
419,419,1.068857e-11
339,339,1.0536395e-11
84,84,1.0279607e-11
360,360,8.975255e-12
239,239,8.904627e-12
21,21,7.7224095e-12
45,45,6.51264e-12
374,374,6.3590942e-12
189,189,5.9826523e-12
22,22,5.8269687e-12
162,162,5.813181e-12
126,126,4.5392422e-12
244,244,3.716811e-12
334,334,3.5809257e-12
144,144,3.5341543e-12
226,226,3.511403e-12
20,20,3.229037e-12
391,391,3.1226898e-12
453,453,2.802505e-12
6,6,2.4331132e-12
347,347,2.3811786e-12
410,410,2.0079702e-12
74,74,1.8400077e-12
310,310,1.4958986e-12
289,289,1.4347225e-12
344,344,1.403812e-12
46,46,1.361439e-12
