Gene_set,Term,Overlap,P-value,Odds Ratio,Combined Score,Genes,Adjusted P-value
GO_Biological_Process_2021,mRNA catabolic process (GO:0006402),7/44,6.653847141485964e-05,8.000527473166725,76.94691517501695,AGO1;AGO3;AGO4;EXOSC10;MRTO4;THRAP3;YTHDF2,0.1577627157246322
GO_Biological_Process_2021,production of small RNA involved in gene silencing by RNA (GO:0070918),5/20,7.961074256619406e-05,14.051115614446747,132.61950889116662,AGO1;AGO3;AGO4;PUM1;SNIP1,0.1887570706244461
GO_Biological_Process_2021,regulation of cell morphogenesis (GO:0022604),6/32,8.592018162122158e-05,9.74325653735875,91.21726226380719,CAPZB;MACF1;MFSD2A;PDPN;ZMYM4;ZMYM6,0.20371675062391637
GO_Biological_Process_2021,mRNA cleavage involved in gene silencing by miRNA (GO:0035279),3/5,0.00012292796232130337,62.99999867741939,567.2464470110958,AGO1;AGO3;AGO4,0.2914621986638103
GO_Biological_Process_2021,cell junction disassembly (GO:0150146),3/6,0.00024157799604407194,41.99784858069143,349.7714455204709,C1QA;C1QB;C1QC,0.5727814286204945
GO_Biological_Process_2021,regulation of lamellipodium organization (GO:1902743),4/14,0.00024589313343714036,16.82930999074763,139.86189136582084,CAPZB;CDC42;EPHA2;PDPN,0.5830126193794598
GO_Biological_Process_2021,"RNA splicing, via transesterification reactions (GO:0000375)",5/25,0.00024771226198295175,10.535636926876093,87.47995060656115,SF3A3;SNRNP40;SRRM1;SRSF10;SRSF4,0.5873257731615786
GO_Biological_Process_2021,mRNA metabolic process (GO:0016071),9/95,0.000386019234404834,4.4336524364660015,34.84683825832369,AGO3;AGO4;AURKAIP1;HNRNPR;LSM10;SF3A3;SFPQ;SRSF4;YTHDF2,0.9152516047738615
GO_Biological_Process_2021,miRNA loading onto RISC involved in gene silencing by miRNA (GO:0035280),3/7,0.0004154138849536409,31.496773532327452,245.24128744341732,AGO1;AGO3;AGO4,0.9849463212250826
GO_Biological_Process_2021,production of miRNAs involved in gene silencing by miRNA (GO:0035196),5/29,0.0005126372690518181,8.777897583090764,66.50084332922916,AGO1;AGO3;AGO4;PUM1;SNIP1,1.0
GO_Biological_Process_2021,regulation of cell growth (GO:0001558),14/217,0.0006221997993574893,2.936199238075514,21.675754758116128,ATAD3A;CDC42;CDK11A;CDK11B;ENO1;MAD2L2;MFSD2A;MTOR;MUL1;PPT1;PTCH2;RPS6KA1;SESN2;SLC25A33,1.0
GO_Biological_Process_2021,RNA secondary structure unwinding (GO:0010501),3/8,0.0006531237901242751,25.196128503309065,184.78195309121992,AGO1;AGO3;AGO4,1.0
GO_Biological_Process_2021,gene silencing by miRNA (GO:0035195),5/32,0.0008205979378853351,7.8013757254322496,55.43249805478568,AGO1;AGO3;AGO4;PUM1;SNIP1,1.0
GO_Biological_Process_2021,carbohydrate derivative catabolic process (GO:1901136),4/19,0.0008677285461119855,11.216666430675293,79.07336642041534,FBXO2;FBXO44;FBXO6;FUCA1,1.0
GO_Biological_Process_2021,synapse pruning (GO:0098883),3/9,0.0009626983745091606,20.995698483963476,145.83130125987924,C1QA;C1QB;C1QC,1.0
GO_Biological_Process_2021,"complement activation, classical pathway (GO:0006958)",3/9,0.0009626983745091606,20.995698483963476,145.83130125987924,C1QA;C1QB;C1QC,1.0
GO_Biological_Process_2021,small RNA loading onto RISC (GO:0070922),3/9,0.0009626983745091606,20.995698483963476,145.83130125987924,AGO1;AGO3;AGO4,1.0
GO_Biological_Process_2021,regulation of lamellipodium assembly (GO:0010591),5/34,0.0010911933737447772,7.2626050453447935,49.53447674103531,AKIRIN1;CAPZB;CDC42;EPHA2;WASF2,1.0
GO_Biological_Process_2021,membrane lipid catabolic process (GO:0046466),3/10,0.0013514646051150292,17.995391327288054,118.8877473724285,FUCA1;PPT1;SMPDL3B,1.0
GO_Biological_Process_2021,cellular macromolecule catabolic process (GO:0044265),6/53,0.0014390088782302044,5.38408388732986,35.23237181047892,DFFB;FBXO2;FBXO44;FBXO6;PABPC4;PPP1R8,1.0
GO_Biological_Process_2021,regulation of transport (GO:0051049),5/37,0.0016139142966647986,6.580723403359106,42.30808152044792,DISP3;EPB41;MUL1;PINK1;YRDC,1.0
GO_Biological_Process_2021,ribonucleoside bisphosphate biosynthetic process (GO:0034030),3/11,0.0018261182227100505,15.745160959781487,99.28210051654462,ACOT7;PANK4;PPCS,1.0
GO_Biological_Process_2021,positive regulation of cellular respiration (GO:1901857),3/11,0.0018261182227100505,15.745160959781487,99.28210051654462,IFNLR1;PARK7;PINK1,1.0
GO_Biological_Process_2021,coenzyme A biosynthetic process (GO:0015937),3/11,0.0018261182227100505,15.745160959781487,99.28210051654462,ACOT7;PANK4;PPCS,1.0
GO_Biological_Process_2021,"negative regulation of translation, ncRNA-mediated (GO:0040033)",3/11,0.0018261182227100505,15.745160959781487,99.28210051654462,AGO1;AGO3;AGO4,1.0
GO_Biological_Process_2021,humoral immune response mediated by circulating immunoglobulin (GO:0002455),3/11,0.0018261182227100505,15.745160959781487,99.28210051654462,C1QA;C1QB;C1QC,1.0
GO_Biological_Process_2021,miRNA mediated inhibition of translation (GO:0035278),3/11,0.0018261182227100505,15.745160959781487,99.28210051654462,AGO1;AGO3;AGO4,1.0
GO_Biological_Process_2021,purine nucleoside bisphosphate biosynthetic process (GO:0034033),3/11,0.0018261182227100505,15.745160959781487,99.28210051654462,ACOT7;PANK4;PPCS,1.0
GO_Biological_Process_2021,regulation of peptidase activity (GO:0052547),4/23,0.0018410100081217612,8.853448089592202,55.754066464018656,ATP13A2;HDAC1;PINK1;SVBP,1.0
GO_Biological_Process_2021,RNA splicing (GO:0008380),8/98,0.0021199887221894837,3.7569081328208376,23.12882075819303,RRAGC;SF3A3;SFPQ;SNRNP40;SRRM1;SRSF10;SRSF4;TARDBP,1.0
