Gene_set,Term,Overlap,P-value,Odds Ratio,Combined Score,Genes,Adjusted P-value
GO_Molecular_Function_2021,miRNA binding (GO:0035198),6/30,5.85735908339852e-05,10.55627683319747,102.87331012233324,AGO1;AGO3;AGO4;PUM1;YBX1;ZC3H12A,0.023019421197756185
GO_Molecular_Function_2021,regulatory RNA binding (GO:0061980),6/40,0.0003107076882706056,7.447669819696477,60.15228200730698,AGO1;AGO3;AGO4;PUM1;YBX1;ZC3H12A,0.12210812149034801
GO_Molecular_Function_2021,RNA binding (GO:0003723),53/1406,0.00040464845833945994,1.715931535122212,13.405701170860393,AGO1;AGO3;AGO4;CDK11B;EBNA1BP2;EIF3I;EIF4G3;ENO1;ERI3;EXOSC10;GNL2;HMGN2;HNRNPR;KDM1A;KHDRBS1;LRRC47;LSM10;MACF1;MRPL20;MRPS15;MRTO4;NOC2L;PABPC4;PARK7;PEF1;PPIE;PPP1R8;PRDX1;PUM1;RCAN3;RCC2;RPL11;RPL22;RPS8;SF3A3;SFPQ;SNIP1;SNRNP40;SPEN;SRRM1;SRSF10;SRSF4;SYF2;TARDBP;THRAP3;TOE1;TRNAU1AP;UTP11;YBX1;YRDC;YTHDF2;ZC3H12A;ZCCHC17,0.15902684412740775
GO_Molecular_Function_2021,tumor necrosis factor-activated receptor activity (GO:0005031),3/9,0.0009626983745091606,20.995698483963476,145.83130125987924,TNFRSF14;TNFRSF1B;TNFRSF25,0.3783404611821001
GO_Molecular_Function_2021,death receptor activity (GO:0005035),3/12,0.002392754925836643,13.994981785054158,84.46405195306463,TNFRSF14;TNFRSF1B;TNFRSF25,0.9403526858538007
GO_Molecular_Function_2021,ribonuclease activity (GO:0004540),6/66,0.004416967195541117,4.214718525655443,22.853476578393764,AGO1;AGO3;EXOSC10;INTS11;PPP1R8;ZC3H12A,1.0
GO_Molecular_Function_2021,kinesin binding (GO:0019894),4/29,0.004421303526676105,6.7265515826174225,36.46679340733546,CLSTN1;CROCC;KIF1B;PLEKHM2,1.0
GO_Molecular_Function_2021,palmitoyl-CoA hydrolase activity (GO:0016290),2/6,0.007700107530073949,20.952789260669757,101.96718863709842,ACOT7;PPT1,1.0
GO_Molecular_Function_2021,endoribonuclease activity (GO:0004521),4/34,0.007876791972849658,5.604022870602955,27.144959700760833,AGO1;AGO3;INTS11;ZC3H12A,1.0
GO_Molecular_Function_2021,mRNA binding (GO:0003729),13/263,0.009349422993370085,2.203657095567976,10.296456990945398,EIF4G3;HNRNPR;KHDRBS1;PABPC4;PARK7;PPIE;PPP1R8;PUM1;SNIP1;SRSF4;TARDBP;YTHDF2;ZC3H12A,1.0
GO_Molecular_Function_2021,DNA-binding transcription factor binding (GO:0140297),11/208,0.010108285932966948,2.3624053966617575,10.853834886826219,DMAP1;HDAC1;KDM1A;MAD2L2;NOC2L;PARK7;RERE;SKI;SPEN;TP73;ZBTB17,1.0
GO_Molecular_Function_2021,core promoter sequence-specific DNA binding (GO:0001046),4/37,0.010619200621940246,5.093782546960015,23.15170794553173,AGO1;HDAC1;PARK7;ZBTB17,1.0
GO_Molecular_Function_2021,poly(A) binding (GO:0008143),3/22,0.01408670980674907,6.625806312518031,28.24265506711408,KHDRBS1;PABPC4;PPIE,1.0
GO_Molecular_Function_2021,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)",6/87,0.016340460143837828,3.1186467194136114,12.830458865045395,AKR1A1;DHRS3;H6PD;KCNAB2;PGD;PRXL2B,1.0
GO_Molecular_Function_2021,prenyltransferase activity (GO:0004659),2/9,0.017640435962581955,11.971183072353522,48.33438805329587,DHDDS;UBIAD1,1.0
GO_Molecular_Function_2021,single-stranded RNA binding (GO:0003727),4/45,0.020713696032785212,4.0981916715591575,15.888525811650323,AGO1;AGO3;AGO4;EXOSC10,1.0
GO_Molecular_Function_2021,ubiquitination-like modification-dependent protein binding (GO:0140035),2/10,0.021712678801948687,10.474248707634148,40.11489476437351,FAAP20;LAPTM5,1.0
GO_Molecular_Function_2021,voltage-gated chloride channel activity (GO:0005247),2/10,0.021712678801948687,10.474248707634148,40.11489476437351,CLCN6;CLCNKA,1.0
